## Sheet: Sheet1
Observation | W | verse | Additional notes
Peter  | who | Acts 3:1 | Peter the fisherman, one of the original disciples, brother of Andrew, early leader of the Church 
John | who | Acts 3:1 | John the Apostle, brother of James, one of the original disciples of Jesus, author of 4 books in the Bible
the Temple | where | Acts 3:1  | the central place of Jewish Worship, "Herod's Temple" in Jerusalem 
one afternoon | when | Acts 3:1 | not a specific date because one is not needed to amplify the power of the narrative
3 O'clock prayer service | when | Acts 3:1 | or the "9th Hour" is the second of three daily times of prayer (9am, 3pm, 6pm)
man lame from birth | who | Acts 3:2 | like the man born blind (John 9:3) this healing serves to bring glory to God, not man
un-named men who carried  | who | Acts 3:2 | if the man was lame and carried, there were others who knew this man and were well aquainted with his infirmity
the Beautiful Gate | where | Acts 3:2 | this man was not carried INTO the temple, but was sat at the gate where others entered
asked them for some money | what | Acts 3:3 | the lame man is living off of the charity of those coming to pray a the Temple, his money was his only sustainence
looked intently | what | Acts 3:4 | the word (G816) "atenitzo"  appears to be of the same root as our english word "attention"
"Look at us!"  | what | Acts 3:4 | after setting their attention directly on the lame man, they demand the same focus from him 
expecting some money | what | Acts 3:5 | we all come with our preconceived expectations of what Godly intervention will bring, often it lacks the miraculous
don't have silver or gold | what | Acts 3:6 | Peter, seemingly knowing his heart or reading his face, admits to having no money, but offers something greater
give you what I do have | what | Acts 3:6 | Peter understood that he had the power of the Spirit and also that he was able to freely give it away
in the name of… | what | Acts 3:6 | in contrast to Jesus Himself healing in His own power, Peter heals in the name of Jesus, through Jesus not himself
get up and walk! | what | Acts 3:6 | Peter speaks a command of faith. Faith on Peter's part to perform the healing and faith for the lame man to receive it
helped him up  | what | Acts 3:7 | the man who didn't use his feet when carried to this place is now being helped onto his feet to walk away
instantly healed | what | Acts 3:7 | this healing was immediate and powerful. Like Pentecost, a validation of the name of Jesus through the power of the H.S.
and strengthened | what | Acts 3:7 | not simply healed, this man was strengthened, prepared to walk into the temple and worship God on his feet
he jumped up | what | Acts 3:8 | the immediate and powerful nature of the healing was met with the excitement to jump up 
into the Temple with them | what | Acts 3:8 | the very next act of the man reveals something about his heart, he could have gone on his way, but went to pray to God
all the people | who | Acts 3:9 | the other people, possibly some of those who carried him to the gate, who were in the Temple to pray
Solomon's colonnade | where | Acts 3:11 | also called Solomon's Porch, a place with many pillars where people would walk and gather
holding tightly to Peter & John | what | Acts 3:11 | the emotion that you can imagine was being felt by a man who had been lame from birth now walking you see here
Peter saw his opportunity | what | Acts 3:12 | like Pentecost, Peter siezes the moment when people's attention is on the power of God moving among them
People of Israel | who | Acts 3:12 | seeing as this is taking place at the Temple, Peter's audience is almost certainly all Jewish
Abraham, Isaac, Jacob | who | Acts 3:13 | the three Patriarchs of the Jewish faith, the most important names in their religious tradition
brought glory to….Jesus | what | Acts 3:13 | Peter directly links the Patriarch's to Jesus as this miracle was done in the Temple by the name of Jesus
you rejected  | what | Acts 3:14 | Peter points out the rejection of Jesus by the Jewish people ("Give us Barabbas!" John 18:40)
You killed the author of life | what | Acts 3:15 | Jesus is the one who gave life in the form of healing, to this man who was lame from birth
through faith in the name of Jesus | what | Acts 3:16 | Peter makes it clear that he is not the source of this miracle, Jesus who has been raised to life is the power behind it
before your very eyes | what | Acts 3:16 | the crowd on this day had to deal with the evidence that their eyes were seeing
friends… | what | Acts 3:17 | after setting the Jews apart from he and John (you rejected), Peter now calls to them as equals and friends
done in ignorance | what | Acts 3:17 | the Jewish leaders, and those who followed did not know (or want to know)  that Jesus was the Son of God
all the prophets foretold | what | Acts 3:18 | Peter again shows the Old Testament characters the Jews revere as talking about Jesus
Now repent | what | Acts 3:19 | the most important decision anyone can make… repent of your sins and turn to God
sins may be wiped away | what | Acts 3:19 | the Jews were used to temporary attonment for sin, the word here is to wipe away, obliterate, or erase
Your apointed Messiah | what | Acts 3:20 | Peter leaves no room for misunderstanding, Jesus is the promised Messiah of the Jewish people
until the time for final restoration | what | Acts 3:21 | the end times events that will restore Israel to Jesus and fulfill the outstanding covenants 
Moses | who | Acts 3:22 | the first major deliverer of the Jewish people, the giver of the Law, Peter also shows how Moses referred to Jesus
through your descedants… | what | Acts 3:25 | the Abrahamic Covenant
sent Him first to you | what | Acts 3:26 | Jesus was first sent to Jews to call them back to Himself, then salvation was offered to the Gentiles

## Sheet: Sheet2

## Sheet: Sheet3
