## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details | 
We went on ahead | who | Acts 20:13 | Luke, speaking in the first person, and the other "delegates" from the churches mentioned earlier | 
going there on foot | what | Acts 20:13 | Scriptures do not give a reason for Paul's desire to go "on foot" only that he did | 
avoid spending time | when | Acts 20:16 | this may give a glimpse at the level of love and relationship Paul had with the Ephesians, visitting would have been a while | 
reach Jerusalem | where | Acts 20:16 | Paul's next objective is to reach the city of Jerusalem  | 
by Pentecost | when | Acts 20:16 | Paul celebrated Passover in Phillipi with Luke, so he had less than 50 days to make this journey  | 
the Ephesian elders | who | Acts 20:17 | the men who had been appointed as the spiritual shepherds of the Ephesian church | 
Paul's address | what | Acts 20:18-35 | this address is unique in the book of Acts as this is the only address given directly to believers, Paul is giving instructions | 
 |  |  | and encouragement to the elders (pastors, shepherds, teachers, etc) of the Ephesian church | 
you know how I lived | what | Acts 20:18-35 | Paul begins with the testimony of his life as their example, they lived with him for three years, they knew him well  | 
great humility  | what | Acts 20:19 | one of the most powerful testimonies of the life of a man of God is the testimony of humility | 
tears in… testing… Jews | what | Acts 20:19 | testing and the emotional strain that it will bring should also be an expected reality for those who shepherd God's people  | 
not hestitated… taught publically | what | Acts 20:20 | the primary role of the elder is to teach the people of God, Paul shows his example of this activity while in Ephesus  |   
both Jews & Greeks | what | Acts 20:21 | the duality of the early church is something we don't have much anymore, but barriers to the gospel should always be ignored | 
compelled by the Spirit | what | Acts 20:22 | Paul is being led by the Spirit to reach Jerusalem, the Ephesian elders must be willing to follow the Spirit's leading | 
not knowing what will happen | what | Acts 20:22 | following the Spirit's leading in faith requires men of God to put their own human understanding in submission to the Spirit | 
Holy Spirit warns me | what | Acts 20:23 | the Holy Spirit has warned Paul on numerous occasions he is heading toward hardship, but he must still follow on faith  | 
life is nothing… finish the race | what | Acts 20:24 | Paul uses an analogy from the arena of runners running a race, the end goal is the only focus from the start | 
news of God's grace | what | Acts 20:24 | salvation has always been by grace alone through faith alone in Jesus alone | 
will ever see me again | when | Acts 20:25 | Paul does not expect that he will ever return to this area, though he may have after his first imprisionment in Rome, he  | 
 |  |  | could not have known this detail at the time and thus considers this the last time he will see his Ephesian brothers  | 
innocent of the blood… | what | Acts 20:26-27 | Paul draws on the OT imagery of the "watchman" from Ezekiel 3:16-21. Paul sees his efforts to preach the Gospel to as many | 
 |  |  | as possible as enough to see himself as "innocent" of not shared it with anyone who may be lost.  | 
keep watch over yourselves | what | Acts 20:28 | elders are to be mutually submitted to one another, guarding and protecting each other than their families in the faith  | 
all the flock | who | Acts 20:28 | the elders were the Spirit-appointed leaders of the church, the concept of congregational / democratic leadership | 
 |  |  | is foreign to the New Testament. However, there is also little said about how congregations appoint their elders, so there is  | 
 |  |  | room for multiple forms of church government as long as the Scriptures and the Spirit are the highest value in the church | 
Holy Spirit has made you  | what | Acts 20:28 | the Holy Spirit is the One who calls men to Biblical eldership, while this may take many forms in various churches, the  | 
 |  |  | undergirding principle of Spiritual leadership should not be lessened. Pastors, elders, bishops, etc must have a clear cal  | 
 |  |  | from the Lord to serve His people. Pastorship / eldership should never be a popularitiy contest.  | 
be shepherds | what | Acts 20:28 | elders are to be the shepherds of their flock, caring for, protecting, feeding, cleaning, etc the sheep in their care  | 
bought with His own blood | what | Acts 20:28 | the church does not belong to elders or pastors, it belongs to Christ. He is the purchaser and owner, elders are stewards | 
savage wolves will come | who | Acts 20:29-30 | Paul uses the same analogy the Lord Jesus used when speaking of false ministers (Matthew 7:15). The reality that the church | 
 |  |  | can and will be attacked not only from outside but from within Its own ranks is a sadly forgotten truth today. It is the job of  | 
 |  |  | the pastors / elders to guard the sheep and protect them from the false teaching and division | 
be on your guard | what | Acts 20:31 | the elders must be aware and ready to resond to false doctrine and protect the unity and holiness of the church | 
commit you to God | who | Acts 20:32 | Paul, thinking he would never return, now releases the responsibility of the elders to the Lord's care and guidance  | 
build you up / give inheritance | what | Acts 20:32 | Paul understood serving the Lord in this life brings encouragement in the present and inheritance in the life to come | 
I have not coveted  | what | Acts 20:33 | using himself as an example again, Paul illustrates how dangerous jealousy and comparitive perspectives can be  | 
supplied my own needs | what | Acts 20:34 | Paul continued to work his trade as he served the Lord, he also times received support, but in either case would not allow  | 
 |  |  | money to be a barrier to the work of the Gospel  | 
it is more blessed… | what | Acts 20:35 | this is the only quote of Jesus that is not contained in the Gospels, however it is directly in line with Jesus recorded teachings | 
knelt down and prayed | what | Acts 20:36 | the common Jewish position of prayer was to stand, the kneeling here shows an attitude of love and intimacy to the prayer | 
embraced and kissed | what | Acts 20:37-38 | again we see the intimacy shown by Paul and the Ephesian elders in their embrace, not lustful but loving for their brother | 

## Sheet: Sheet2

## Sheet: Sheet3
