## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details | 
as the soliders were… | when | Acts 21:37 | the events of the preceeding text are still in motion as Paul's defense begins  | 
speak Greek / aren't you?  | what | Acts 21:37-38 | the Roman commander assumes that Paul is an Egyptian insurrectionist who led a revolt | 
I am a Jew from Tarsus | what | Acts 21:39 | Paul identifies himself and his hometown effectively denouncing the commanders incorrect claim to his identity  | 
please let me speak | what | Acts 21:39 | Paul asks for another opportunity to speak to the crowd, his witness is his testimony  | 
receiving permission to speak | what | Acts 21:40 | Paul is a prisoner at this moment. He is in Roman custody and in chains, so permission must be given for him to speak  | 
said to them in…  | what | Acts 21:40 | different translations may Hebrew or Aramaic as the language Paul spoke. Obviously, Paul only spoke one language.  | 
 |  |  | the difficulty comes in when we understand that the Jewish 'lingua franca' of the day was not ancient Hebrew as in the  | 
 |  |  | OT times, but rather Aramaic. The Greek Text reads /Heb-rice/ which means "language of the Hebrews". Ancient Hebrew | 
 |  |  | was still the language of the Scriptures, but Aramaic was the language of the common man. Likely Paul spoke the latter | 
brothers and fathers | who | Acts 22:1 | Paul addresses the male crowd from the Temple as family because he is one of them  | 
I am a Jew … | what | Acts 22:3-5 | Paul begins his defense first with establishing his credentials as a Jew who is passionate for the Law. This was the  | 
 |  |  | first accusation leveled against Paul by his accusers (Acts 21:21) The points he makes are: 1) raised in this city,  |   
 |  |  | 2) studied under Gamaliel, 3) zealous for God as any of you, 4) I persecuted the followers of the Way, 5) the High Priest  | 
 |  |  | and the Council are my witnesses, 6) I asked for letters to perscute the Way, 7) I wanted to punish the Christians  | 
 |  |  | Paul's opening defense assures his audience of two things. First, he is as passionate for the Law as they are. Second,  | 
 |  |  | he understands their passion and desire to persecute him because He was them. This sets the state for the second  | 
 |  |  | point of his defense, the testimony of his conversion  | 
Damascus road conversion  | what | Acts 22:6-11 | After establishing his credentials as a Jew passionate for the Law, Paul truns to his conversion expierence. This shows  | 
 |  |  | the change in his passion for the Lord was not something of human origin, but of a supernatual one. The Jewish audience | 
 |  |  | would have readily accepted the reality that the Lord God can and does speak supernaturally to His servants as He  | 
 |  |  | did in the OT period. Paul aligns himself here with the prophets of old, humorously many of whom were not received  | 
 |  |  | by their contemporaries also.  | 
Ananias visit and calling | what | Acts 22:12-16 | Paul's third main point in his message is of the supernatual visit made by Ananias and the prophetic calling given to  | 
 |  |  | Paul by him. Ananias was a well respected Jew of his day  and this would have served to further Paul's point that he himself | 
 |  |  | was still passionate for the Law. However, Ananias being the medium by which the Lord called Paul into ministry also  | 
 |  |  | bolsters his next claim, that Paul indeed was called by God to bring the Gospel to the Gentiles  | 
Paul's directions from the Lord | what | Acts 22:17-21 | Paul's closing point to his defense brings the other three to their highest point. Paul is a passionate Jew, who encountered | 
 |  |  | God, who was called to the ministry by another well respected Jew, and now receives divine direction from the Lord Himself | 
 |  |  | which he must follow. Paul touches briefly on his passion for the Law in the refence to Stephen and then closes with the | 
 |  |  | divine directive to become an apostle to the Gentiles.  | 
 |  |  | The crowd responds agrily to this point. The text is left unclear if Paul would have continued the message or not. However | 
 |  |  | the Holy Spirit's inspiriation of Luke's writing gives us a powerfully crafted and well delivered message to the specific  | 
 |  |  | audience. This is a high point in the book of Acts as Paul expierences Jewish rejection again, this time at the Temple  | 
 |  |  | in Jerusalem, saved by the Romans. Paul will then carry the message of the Gospel to higher ranking Gentiles  | 

## Sheet: Sheet2

## Sheet: Sheet3
