## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
the crowd | who | Acts 22:22 | again we see Luke illustrating the public nature of the events in his writing, a crowd had attacked and listened to Paul | 
away with him | what | Acts 22:22 | the same thing the enflamed crowd said to Jesus during His trial (Luke 23:18) | 
as they were shouting  | when | Acts 22:23 | the Roman commanders actions are quick and decisive, he removes Paul from the situation thinking he is the instigator | 
flogged and interogated | what | Acts 22:24 | this would have been an interogation under scourging. The Roman flagellum was a collection of leather thongs with  | 
 |  |  | bits of metal and bone tied into them. This could very well be the same site as Jesus scourging before His death | 
stretched him out | what | Acts 22:24 | the elongating of the arms and stretching of the torso granted more surface area for the flagellum to penetrate | 
is it legal…? | what | Acts 22:25 | at this point Paul declares his Roman citizenship thereby making it illegal to scourge him. In some rare occasions Roman | 
 |  |  | citizens could be beaten with rods, but scourging and other forms of brutal torture were illegal to use on citizens.  | 
been found guilty | what | Acts 22:25 | As a Roman citizen, Paul had the right not not be punished without proper trial first. His claim here demonstrates his  | 
 |  |  | knowledge of the Roman legal system and his understanding of his own rights as a citizen of that system  | 
what are you going to do? | what | Acts 22:26 | The Centurion was correct to cease all attempts to beat Paul. Because this would have been a serious breach of law | 
are you a Roman Citizen | who | Acts 22:27-28 | Paul's response here is assumed true because the penalty for lying about one's citizenship was death  |   
 |  |  | The inclusion of Paul's claim to citizenship here is another fantastic example of how historically accurate the text of | 
 |  |  | the Scriptrues are. During the time of Claudius (AD 41-54), Roman citizenship was very hard to come by. It was possible | 
 |  |  | to buy it from a corrupt prefect but citizenship was not readily accessible to most people. However, after Claudius dies | 
 |  |  | in AD54, continuing forward through the Reign of Nero, citizenship was easier to obtain. This illustrates for us the  | 
 |  |  | knowledge of the earlier Roman periods by the author of the book.  | 
I was born a citizen | what | Acts 22:28 | Paul's privilege as a citizen of Rome was his from birth, much like his Jewish heritage | 
commander alarmed | what | Acts 22:29 | the reponse of the Roman military commander here illustrates for us how serious the protection of Roman citizenship | 
 |  |  | offers Paul. No one would dare to scourge him now | 
the next day | when | Acts 22:30 | Paul is apparently held overnight in the military barracks, ironically, being protected by the Romans from the Jews | 
ordered the Sanhedrin | what | Acts 22:30 | there is debate as to whether the Roman commander had the authority to force the Sanhedrin to assemble. Either way  | 
 |  |  | they likely would have wanted to in order to shift the blame for the mob the day before on Paul as the instigator | 
he brought Paul  | who | Acts 22:30 | the Roman commander brings Paul into the meeting with the Sanhedrin  | 
my brothers  | who | Acts 23:1 | Paul again addresses the Sanhedrin as his brothers, he still sees himself as a faithful Jew, though they do not | 
duty to God… to this day | what | Acts 23:1 | Paul relates to them in his view, he has remained faithful to the same One True God to this day | 
at this… strike him  | what | Acts 23:2 | the Jews likely see Paul as an apostate, running away from the true faith to follow heretics, the claim that he was still  | 
 |  |  | faithful would have infuriated the Sanhedrin  | 
Ananias  | who | Acts 23:2 | this should not be confused with the previous Annas of the Gospel accounts or with the Christian who met Paul  | 
 |  |  | after the Damascus Road conversion. This man was known to be cruel and corrupt. | 
whitewashed wall | what | Acts 23:3 | the term is used of a wall that is crumbling but painted to appear new, Paul clearly sees the hypocrasy of the High Priest | 
I did not realize… | what | Acts 23:5 | given the short notice for the meeting, it is possible the high priest is not wearing his priestly garments and thus would | 
 |  |  | not be easily identifiable. Additionally, Paul may not have known Ananias personally thus wouldn't have known who  | 
 |  |  | it was without the garments to identify the position. In either way, when confronted Paul again quotes Scripture | 
stand on trial… resurrection | what | Acts 23:6 | Paul is both accruate and wise in his use of the theological debate in the Sanhedrin | 
Sadducees beliefs | what | Acts 23:7 | the Sadducees only accepted the first five books of the Hebrew Bible, did not believe in a resurrection, nor in angels  | 
there was a great uproar | what | Acts 23:9 | Paul's words spark a theological debate between the rival factions in the group, the attention is taken off of him  | 
 |  |  | and debate insues, there is nothing that theologians love more than to debate  | 
we find nothing wrong | what | Acts 23:9 | in gaining the pharisees to his side, they declare Paul innocent because of his theology | 
dispute became violent | what | Acts 23:10 | sadly, Godly men can disagree so passionately that they will not be able to hold back their anger and rage in debate  | 
bring him into the barraks | what | Acts 23:10 | the Romans again are the "heroes" who rescue Paul from the violence of a Jewish mob, this time in the Sanhedrin itself | 
the Lord | who | Acts 23:11 | another appearance of the Resurrected Savior speaking to Paul  | 
testify in Rome | where | Acts 23:11 | Paul's desire to go to Rome is now confirmed as a divine guidance as the Lord is sending him there to witness  | 

## Sheet: Sheet2

## Sheet: Sheet3
