## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
King Agrippa | who | Acts 26:1 | the vassel "king" of Judea, called in by Festus the Roman governer to assit in the understanding of Jewish law and customs | 
Paul | who | Acts 26:1 | the ex-Pharisee, now apostle to the Gentiles | 
you have permission | what | Acts 26:1 | because this scene is being held at the request of Agrippa, Festus allows him the privliege of ruling over it | 
fortunate… well aquainted | what | Acts 26:2-3 | Agrippa, the grandson of Herod the Great, is part Jew, so he is significantly more understanding of Jewish culture | 
customs and contraversies | what | Acts 26:3 | being aquainted with Jewish law, Agripaa would understand the differences between the Pharisees and Sadducees  | 
 |  |  | this will be a big deal later, as Paul is going to hang a large part of his defense on the resurrection of Christ  | 
Paul's defense  | what | Acts 26:2-23 | Paul's defense is the longest and deepest in the book of Acts, it contains several parts or themes: | 
 |  |  | Introduction (2-3), Resurrection (4-8), Testimony (9-11), Damascus Conversion (12-18), Closing (19-23) | 
I lived as a Pharisee | what | Acts 26:4-5 | Paul states his background as a Pharisee to establish two points. (a) he lived for years in the strictest sect of the Jewish | 
 |  |  | community and was respected. He is not a "part time" Jew. Secondly, this will undergird his resurrection argument as  | 
 |  |  | Pharisees all believed in and waited for the resurrection of the Lord's peope.  | 
because of my hope | what | Acts 26:6 | Paul now states clearly the reason he is on trial is because of his hope in the future resurrection. Like all Pharisees.  | 
promise our 12 tribes… | who | Acts 26:7 | Paul has no conflict between his Jewish heritage and his Christian faith. Notice he identifies with OUR 12 tribes.  | 
God raises the dead | what | Acts 26:8 | if we believe in a fully powerful creator who selected a chosen nation and supernatually provided for and protected them |   
 |  |  | as He did throughout the entire Old Testament, then why would we want believe He can raise the dead? | 
I too WAS convinced | what | Acts 26:9 | here, Paul offers a moment of humility admitting that he was not always as convinced as he is when he delivers his defense | 
this is what I did  | what | Acts 26:10-11 | Paul not only opposed the followers of Christ, but had then put in prision and to death in his zeal for his Jewish faith | 
Damascus conversion  | what | Acts 26:12-18 | this is the third recounting of Christ's supernatural intervention into the life of Paul. This account however is also different | 
 |  |  | than the previous two. First, Paul reminds the listeners the time was noon, so then he mentions a "bright light" it is brighter | 
 |  |  | than the midday sun high in the sky. This denotes the radiance of the glory of God. Second, though the other accounts  | 
 |  |  | include Christ's words "I am Jesus…" the rest of this account is new to the reader. This verifies to Agrippa and the reader | 
 |  |  | Paul has been specifically chosen to be the Apostle to the Gentiles, for the purpose of their salvation. The use of light/dark | 
 |  |  | imagery is a common Biblical symbol of the darkness of sin and the brillance of God. The outcome of salvation has  | 
 |  |  | remained the same: (1) forgiveness of sins and because of this (2) a future hope and home with Christ.  | 
I was not disobedient | what | Acts 26:19 | Paul wastes no time in being obedient to the Lord's divine instructions  | 
prove their repentance | what | Acts 26:20 | salvation is always by faith alone, however a transformed life is the natural outcome of a truly repentant heart  | 
That is why | what | Acts 26:21 | Paul again makes the offer of salvation for the Gentiles a central issue in which the Jews oppose him.  | 
nothing beyond Moses | what | Acts 26:22-23 | the claim that the beliefs of the early church are completely in line with the Jewish expectation of the Messiah accomplish | 
 |  |  | two things for Paul. First, it completely invalidates any argument the Jewish leaders attempt to make as Jesus was indeed | 
 |  |  | the promised Messiah of the Jewish people. Second, it keep Christianity under the umbrella of Judaism and thereby  | 
 |  |  | keeps it protected as a legal religion in the Roman Empire.  | 
You are out of your mind | what | Acts 26:24 | this is a completely understandable response for a Roman who does not believe in a resurrection of any kind. It also  | 
 |  |  | echos the disenting voice that has been cast at Christianity ever since.  | 
I am not… you believe don't you | what | Acts 26:25-27 | Paul's response here is a shrewd one. First, Paul emphatically denies believing in resurrection is foolishness, as the Jews | 
 |  |  | have believed in and still did expect the resurrection of the Lord's chosen people. Secondly, the question to Agrippa puts | 
 |  |  | him in a challenging place, as the Romans would want him to say "no" and his Jewish subjects would expect "yes"  | 
such a short time | what | Acts 26:28 | Agrippa's response is equally wise as to avoid the difficulty of Paul's question.  | 
not only you, but all | who | Acts 26:29 | Paul admits he is testifying about Jesus to more than just Agrippa, but to all who are listening to him  | 
verdict of innocence | what | Acts 26:30-32 | The final verdict to come from Festus, Agrippa, and Bernice is that Paul is completely innocent. However, because he has  | 
 |  |  | appealed to Ceasar, the final verdict has already been pushed up to the "higher court" so to speak.  | 

## Sheet: Sheet2

## Sheet: Sheet3
