## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
all the believers | who | Acts 4:32 | Luke provides here a second "snapshot" look into the early Chrisitan community (see also Acts 2:42-47)
one heart and mind | what | Acts 4:32 | this is a Hebrew phrase that makes the unity of the early Christian chruch the focus of Luke's perspective.
shared everything they had | what | Acts 4:32 | the activity here should NOT be interpreted as early communism or socialism. We see later in this text that each individual
 |  |  | still retained ownership of their own property. (v 34). This statement is meant to further illustrate the unity of the body 
with great power | what | Acts 4:33 | the activity is the answer to the believer's prayer from v29-30. 
testify to the resurrection | what | Acts 4:33 | the resurrection of Jesus was (and still is!) the most powerful verification of Jesus' Savior-ship. Jesus rose! 
God's grace…work…them all | what | Acts 4:33 | God's gracious power worked through the whole community. The Holy Spirit did not only fall on the "chosen" Apostles
no needy persons | who | Acts 4:34 | the power of the unity (v32) and God's grace (v33) brought the outcome that they cared for those in need 
from time to time | when | Acts 4:34 | this is a great example of how the early church was not socialism. The selling of property was not a regular or forced act
those who owned sold…. | what | Acts 4:34 | the generosity of the early church is in view in a powerful way, the love and unity of the Church moved the wealthier members
 |  |  | to sell their own posessions in order to continue the work of care ministry
put at the apostle's feet | where | Acts 4:35 | this is NOT an act of worship. The feet were seen as the place or position of authortiy, bowing at someone's feet was an act
 |  |  | of recognizing the authority of person you considered greater than yourself. Placing the money there is putting the funds
 |  |  | unde rthe control and guidance of the apostles for them to distribute as they see fit for the work of ministry
Joseph / Barnabas | who | Acts 4:36 | Luke gives a brief introduction to a character that will appear frequently in Acts chapters 9 - 15. We see from this description
 |  |  | that Barnabas is a Levite. It is interesting to note that Levites were not meant to own property. The "Lord is their inheiritence"
 |  |  | we see this in Deutereonomy 18:1-2. For Barnabas to own land means: (a) the practice of the day was to ignore this part of
 |  |  | the Law, and (b) Barnabas was a wealthy or influencial man to have owned land at all. 
from Cyprus | where | Acts 4:36 | the fact that Barnabas is from Cyprus (he would later travel back there with Paul in Acts 13-14) means he was a Hellenistic
 |  |  | Jew, or one that was more familiar with Greek culture. 
Barnabas  | who | Acts 4:36 | the nickname Barnabas is likely a conjuction of "bar" (son of) and "nabi (prophet) taken literally this would better be 
 |  |  | translated "son of exhortation" which most likely is the apostles notice of his ability to preach and teach
Ananias & Sapphira | who | Acts 5:1 | Luke gives the brief look at Barnabas in order to highlight the striking contrast between he and the couple mentioned here
also sold property | what | Acts 5:2 | it is important to note that the selling of property and the giving of an offering are both worthy examples. See Barnabas.
 |  |  | Luke highlights the intentional deception on the part of Ananias and Sapphira. 
full knowledge… kept back | what | Acts 5:2 | this was a fully intentional act. The term "kept back" literally means to "skim off the top" 
put it at the apostle's feet | what | Acts 5:2 | like Barnabas in the previous text, Ananias and Sapphira sold property and brought it to the apostles, however, clearly they
 |  |  | wanted to be seen as "giving their all" when in truth, they did not. Sadly, many Christians still do this today. 
Satan has filled your heart | what | Acts 5:3 | Peter supernaturally or naturally is aware of the intentional decption in the heart of Ananias and calls it as it is… from Satan
lied to the Holy Spirit | what | Acts 5:3 | Luke gives a humorus view of a man filled with Satan (Ananias) and one with the Holy Spirit (Peter) 
belong to you | what | Acts 5:4 | Peter makes the point that while the property was there's they had the right to do what they wished, as with the money
lied to God | what | Acts 5:4 | Peter clearly sees this deception as not only of the human being comprising the Christian community, but to the Lord Himself
fell down and died | what | Acts 5:5 | Some have attempted to claim that Ananias' death here is from a human cause of shame, fear, or guilt. That does not fit
 |  |  | the narrative Luke has laid so far, nor does it the full Scriptural record. In chapter 3, Luke gives us a miraculous healing
 |  |  | to establish the power of the Lord in His community of believers. This judgment has the same effect (v5, 11). This scene also 
 |  |  | seems to reflect on the actions of Achen in Joshua 7 and Aaron's sons, Nadab and Abihu in Levitcus 10. It is easy to tolerate
 |  |  | sin in the midst of the church. Here, we see the Lord still requiring a standard of holiness in the community of His people 
carried and bured | what | Acts 5:6 | the fact that the community did not give Ananias the typical burial with mourners furhter supports the understanding that the
 |  |  | early church saw this as a judgment from the Lord. It was typical to bury someone quickly in this time and climate 
about three hours | when | Acts 5:7 | the text is not clear if this is measured from the death or the burial of Ananias 
Tell me, is this the price | what | Acts 5:8 | Peter gives Sapphira the chance to tell the truth, though being clearly manipulated by a sinful heart, she does not 
test the Spirit of the Lord | what | Acts 5:9 | Peter has a high view of the presence of God in the midst of His people. Peter does not tolerate sinfulness in the Church
young men | who | Acts 5:9 | these young men should not be seen as having a special position in the church, just being willing to serve at the time

## Sheet: Sheet2

## Sheet: Sheet3
