## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Peter | who | Acts 9:32 | one of the called disciples of Jesus, also one of of Jesus "inner three" a fisherman from Capernaum 
the saints  | who | Acts 9:32 | again we see Luke using the word /ha-gee-os/ which means "holy people or holy thing" to describe Christians 
in Lydda | where | Acts 9:32 | Lydda, the Old Testament town of Lod (1 Chronicles 8:12) about 30 miles northwest of Jerusalem on the way to Joppa 
 |  |  | Lydaa was prodominently a Jewish town, though it was removed from Jerusalem
man named Aeneas | who | Acts 9:33 | Luke does not clarify if Aeneas is a believer or not. Peter has already healed a man who was not a believer nor asked for
 |  |  | a healing (see Acts 3:1-6), so it is possible that the description of "a man named" denotes Aeneas is not a Christian
 |  |  | however, this is only conjecture and it is not definitively clear one way or the other 
bedridden paralytic | what | Acts 9:33 | aside from his name, the next major detail Luke (the physician) gives us about this man is his medical condition and history
Jesus Christ heals you | what | Acts 9:34 | Peter makes this miracle person by saying Aeneas' name, and also ensures that Jesus gets the glory and thanks as Peter
 |  |  | is clear it is the namd and power of Christ that heals and not Peter himself. 
Immediately | when | Acts 9:34 | there is no "down time" for this miracle. The complete healing and restoration of Aeneas happens instantly 
those who lived in | who | Acts 9:35 | again we see Luke (the investigator / historian) show us that this miracle was not contained, but witnessed by others 
turned to the Lord | what | Acts 9:35 | because of this miracle of physical healing (and possibly spiritual) others are spiritually healed by coming to Christ
In Joppa (or Jaffa)  | where | Acts 9:36 | Jopaa (also called Joffa) is a port city on the coast of the Mediterranean about 14 miles northwest of Lydda(Lod) 
a disciple  | what | Acts 9:36 | unlike Aeneas, the faith of this next character is not in question. Tabitha / Dorcas was already a believer by this time
Tabitha / Dorcas | who | Acts 9:36 | Tabitha is an Aramaic name, Dorcas is the Greek version of this name, they both mean "gazelle" or we may call it a deer
doing good / helping the poor | what | Acts 9:36 | another detail we are given about this woman beyond her name and faith is her good works for the pepole of Joppa
about that time | when | Acts 9:37 | about the time that Peter was in Lydda healing the man named Aeneas
body washed  | what | Acts 9:37-38 | it was standard Jewish practice to wash and then annoint a body for burial (see John 19:38-42), interestingly we do not 
 |  |  | see Luke mention the annointing, only that her body had been washed. Could this allude to the exectation of a miracle? 
All the widows | who | Acts 9:39 | another detail of Tabitha's character is seen in the people who love her (widows) and the garments she provided for them 
sent them out of the room | what | Acts 9:40 | this scene is reminiscent, but not exact enough to be viewed as a copy of Jesus at the home of Jarius (see Luke 8:51-56)
then he… prayed | what | Acts 9:40 | here is another smalll detail that Luke could only have received from Peter, as he is the only person in the room 
Tabitha, get up | what | Acts 9:40 | this command is also reminiscent of Luke's account of Jesus' healing Jarius' daughter (see Luke 8)
presentem them to her | what | Acts 9:41 | Peter does not stop at only the initial healing, but again takes the now healed person to a group of witnesses to verify it 
many people believed | who | Acts 9:42 | as in the healing of Aeneas, the resussitation of Tabitha leads to wide spread conversion of people to the faith 
Peter stayed in Joppa | what | Acts 9:43 | Peter staying in Joppa could be to provide teaching to the new disciples that have come to the Lord in these stories 
home of Simon the Tanner | where | Acts 9:43 | Peter's choice of lodging is significant because a pios Jew would never associate with someone who works with dead
 |  |  | animals. This would have made that person "unclean" and accidentally touching them would have made them "unclean"
 |  |  | the fact that Peter stays with Simon may illustrate a change in his mentality towards gentiles. It will change completely
 |  |  | when confronted by God in a vision in the next chapter. 

## Sheet: Sheet2

## Sheet: Sheet3
