## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
the island of Malta | where | Acts 28:1 | continuing the shipwreck narrative from the previous chapter, Luke, Paul, the soldiers, and sailors arrive on Malta | 
the islanders  | who | Acts 28:2 | the Greek term is the same from which we get our English word "barbarian" however, this does not suggest they are  | 
 |  |  | savages, but rather they do not have a natively Greek or Roman culture  | 
showed us kindness | what | Acts 28:2 | the native Maltans show compassion on the shipwrecked survivors  | 
built a fire | what | Acts 28:2 | the same storm that drove and destroyed the ship was still going on, it hadn't stopped  | 
viper fastened itself on his hand | what | Acts 28:3 | there has been some debate over this verse as no poisonous snakes currently live on Malta, this doesn't mean they didn't  | 
must be a murderer | what | Acts 28:4 | the natives assumption was that Paul was justly being killed by the snake's bite. | 
Justice has not allowed | who | Acts 28:4 | this is the personification of Justice in the Greek Goddess Dike /dee-kay/  | 
the people expected | what | Acts 28:5-6 | God again used an "expected" circumstance to illustrate the power of His protection on His chosen servant | 
said he was a god | what | Acts 28:6 | unfortunately, the native Maltans did not understand God's protection and thought Paul himself was a god | 
Publius | who | Acts 28:7 | the Roman appointed governer if you will on the island of Malta  | 
healed him | what | Acts 28:8 | Paul is used by God to be a testimony not only to the native Maltans but also the Romans on the island  | 
rest of the sick… cured | what | Acts 28:9 | notice the subtle difference between "healed" in verse 8 and "cured" in verse 9, this distinction is in the orignal Greek | 
 |  |  | text and refers to supernatural healing (v 8) and medical or natural healing (v 9). This could also be the work of Luke  |   
after three months | when | Acts 28:11 | Paul now spends another three months on the Island of Malta before continuing the journey to Rome. Interestingly,  | 
 |  |  | we may today be tempted to see the storm and 90 day delay on Malta as an interuption to the plan of God, yet that is not  | 
 |  |  | how Paul responded. He remained a faithful servant wherever he was planted  | 
Castor and Pollus | who | Acts 28:11 | also known as the "Gemini Twins" these Greek figureheads were considered protection for sailors  | 
so we came to Rome | where | Acts 28:12-14  | the last leg of the travel narrative is short and sweet, culminting in Paul's arrival in the Roman captial city  | 
the brothers there | who | Acts 28:15 | the term used here "adelphos" refers to other Christians in the area, not necessarily male Christians only  | 
allowed to live by himself | what | Acts 28:16 | another clue to how little the Romans thought of the charges against Paul, he was permitted a large amount of freedom  | 
leaders of the Jews | who | Acts 28:17 | as he had done in so many towns before, Paul begins his Roman ministry reaching out to the Jews in the area first | 
my brothers | who | Acts 28:17 | Paul does not see a separation between his Jewish heritage and his Christian mission  | 
I have done nothing | what | Acts 28:17 | Paul again confesses his innocence to his fellow Jews | 
examined / wanted to relase | what | Acts 28:18 | the Roman authorities have examined Paul, and by their own admissions find no guilty charge in him to prosecute | 
the Jews objected | what | Acts 28:19 | Paul recounts that it was the Jews who continued to object to his freedom, even though he had be found innocent by Romans | 
the hope of Israel | what | Acts 28:20 | Paul connects the person and ministry of Christ with the Messianic expectations the Jewish nation had for their Redeemer | 
have not received | what | Acts 28:21 | the Roman Jews had not received any official letters or instructions concerning Paul or the Christians  | 
we want to hear | what | Acts 28:22 | however, the Roman Jews are interested in hearing about the Way of Jesus, as they have heard rumors and whispers | 
came in larger numbers | who | Acts 28:23 | the "seeker" response to Paul's ministry in Rome is powerfully effective, using his background and training, Paul taught | 
 |  |  | all day long proving Jesus was the Messiah from the Law (the Torah) and the Prophets (the second part of the Hebrew Bible) | 
the Holy Spirit spoke | what | Acts 28:25-27 | the message of the Gospel was and always has been a message of the Spirit. Trying to tell someone about the Savior without | 
 |  |  | the Spirit involved is like sharing academic information with someone without a heart change behind it  | 
sent to the Gentiles | what | Acts 28:28 | Paul one last time uses the Jewish rejection of the message and Messiah as a cataclyst to bring the message to them | 
two years  | when | Acts 28:30 | Paul remained in Rome for two years ministering there  | 
and without hinderance | what | Acts 28:31 | the last line of the book of Acts ends with the Gospel continuing to penetrate and work, as it began the book of Acts is  | 
 |  |  | not about Peter or Paul, Jew or Gentile, it is about what the Holy Spirit continued to do and teach through the early church | 

## Sheet: Sheet2

## Sheet: Sheet3
