## Sheet: Sheet1
Observation | W | verse | Additional notes
let there be lights  | what | Gen 1:14 | this is the creation of the planets, stars, and other bodies in expanse of space. 
let them serve as signs | what | Gen 1:14 | the purpose of the stars in the heavens were not merely to be viewed but to be interpreted and understood
to mark sacred times | what | Gen 1:14 | while some translations read the word "sign" in Scripture often refers to supernatural miracles, not merely the passage of time
 |  |  | the "seasons" or "sacred times" are meant to refer to the Jewish Holy Days, not merely the four seasons of the year we know today
let them be… to give light to | what | Gen 1:15 | the purpose of the stars is to light the earth, man will not find his purpose in the expanse of space, but rahter the purpose of 
 |  |  | space is to give light to man, this statement is repeated several times
He also made stars  | what | Gen 1:15 | this is not a secondard act of creation, as it is the same day, but a reiteration of that which was created 
made two lights | what | Gen 1:15 | the "greater" light is the sun and the "lesser" light is the moon 
to govern the day & the night | what | Gen 1:15 | the word used here for 'govern' literally means to rule over or be in one's dominion 
separate light from darkness | what | Gen 1:16 | in context, it would seem that the "darkness" being separated away is the blackness of space, not the darkness of night 
evening/morning, 4th day | when | Gen 1:19 | another reference to the six day literal creation, this can not be read as a "period of time" 
water teem / birds fly | what | Gen 1:20 | havin separated the "lower waters" with the sky, God in a single day creates both fish and birds to live in these areas 
great creatures of the sea | what | Gen 1:21 | this does not only refer to fish, but any aquatic reptile or mammal that lives in the waters of the earth 
every living thing | what | Gen 1:21 | this is a whole and complete creation. All the aquatic animals were made in one day
God blessed them | what | Gen 1:22 | this is the first reference to blessing in the Bible, God blesses the animals with the ability to reproduce their own kind
let the land… living creatures | what | Gen 1:24 | land produce living creatures. Notice the anacronistic distinction between livestock, wild animals, and things that crawl 
let us make mankind… | what | Gen 1:27 | first, we must note the creation of man is separate from animal life, a distiction modern science does not make 
 |  |  | second, the "us" in the creation of man is a reference to the Trinity, the perfect example of diversity within holy unity 
 |  |  | third, mankind was created male and female, though modern culture tries to blur these lines, the are created distinctions
 |  | Gen 1:27 | fourth, manking is the only part of creation made with a soul (Gen 2:7) and thus able to have spiritual relationship with God 
God blessed them | what | Gen 1:28 | the first action God takes once mankind has been made is to bless them, God's blessing comes from his character, not earned 
fill the earth and subdue it | what | Gen 1:28 | Mankind was created to be God's regent and representative on earth. We are to be stewards of the planet created for us 
rule over… | what | Gen 1:28 | our role as God's represenatatives is to have dominion over the earth and care for it as God's stewards 
I give you every seed bearing  | what | Gen 1:29 | God gives to mankind all the seedbearing plants of the earth as food for us to eat 
to all the beasts | what | Gen 1:30 | just as God created ground and vegatation on the same day, God now creates the creates who would eat of it on the same day 
God saw… it was VERY good | what | Gen 1:31 | creation was merely "good" on the first five days, now after mankind has been created and istalled as God's personal "regent
 |  |  | in relationship" is creation seen as "very good." With man as God's steward of His creation, this is the very best it could be 
thus… were created | what | Gen 2:1 | there is no thematic break between the end of 1:31 and 2:1, thus the first few verses of chapter 2 are the conclusion of the first
 |  |  | part of the creation account 
God rested from all His work | what | Gen 2:2 | the image of God resting begs the question, "Why did God rest?" the answer is not that He needed the rest because He was tired 
 |  |  | or winded, but rather that in His divine will, He chose to actively cease working from the creative acts
blessed & made holy  | what | Gen 2:3 | God creates a holy day for Himself. Man was created to be a relational regent, we were intended to be in communion and 
 |  |  | relationship with God and He ensured we woul have the time to do this by electing to rest as our example to follow

## Sheet: Sheet2

## Sheet: Sheet3
