## Sheet: Sheet1
Observation | W | verse | Additional notes | 
Joseph | who | Gen 50:1 | the second youngest of Jacob's sons, a redeemer character, at this point the Prime Minister of Egypt | 
threw over / wept / kissed | what | Gen 50:1 | the level of emtion displayed by Joseph further illustrates the depth of love he had for his father and his family  | 
directed the physicians | who | Gen50:2 | according to the Smithsonian, Egyptian embalming was usually done by priests as it also involved prayers and rituals, if this | 
 |  |  | is the case, then the use of the word "physician" twice in this verse could allude to a medical (not mystical) preparation of | 
 |  |  | the third patriarch at the instruction of his son.  | 
full forty days | when | Gen 50:3 | this is standard practice for the Eyptians at this time. The internal organs are removed and dried as well as the body being  | 
 |  |  | prepared and wrapped in cloth and resin  |  
the Egyptians mourned | who | Gen 50:3 | the Egyptians even morned the dath of Israel.  | 
when the days… had passed | when |  Gen 50:4 | Joseph had to wait for the approriate datys of mourning to be passed before he could request the moving of the funeral | 
bury me in the land of Caanan | where | Gen 50:5 | the third patriarch elects to be buried not in Egypt, but in the land promised to them by God, in the cave where his father | 
 |  |  | and grandfather are both buried in the cave at Machpela purchased by Abraham all those years ago | 
Let me go bury my father | what | Gen 50:5 | Joseph understands and accepts the responsibility to return his father to the land of Promise, but must be granted permission | 
officials and dignitaries | who | Gen 50:7 | the burial of Jacob is not a small event in Egypt at this time it involves many prominent faces and security for them. God is  | 
 |  |  | honoring both Jacob and His own promises made to the family as they walk out their obedience.  | 
a very large company | who | Gen 50:8-9 | in addition to the Egyptian contingent, all adults from the Covenant family attended the out of town funeral, only children and  | 
 |  |  | livestock were left in Goshen.  | 
seven day mourning | when | Gen 50:10 | Joseph mourns for another week before crossing the Jordan to bury his father, his grief is real and sorrowful  | 
Abel Mizraim | where | Gen 50:11 | the name mean, "mourning of the Egyptians" Joseph still appeared as an Egyptian to the Caananites viewing this event | 
Jacob's sons did  | who | Gen 50:12 | notice the obedience is not just on Joseph, but all the Sons of Jacob, they as the clan are obedient to Jacob's wishes  | 
what if… holds a grudge | what | Gen 50:15-18 | after the passing of Jacob, the brothers are afraid their brother's anger will resurface and punish them for their previous  | 
 |  |  | deeds toward him. They offer themselves as his "slaves" rather than be killed by him. Interesting turn that the brothers who | 
 |  |  | once sold him as a slave now offer to become his slaves.  | 
Do not be afraid | what | Gen 50:19 | Joseph first deals with their emotions. They are acting out of fear of him, not faith in God.  | 
Am I in the place of God? | what | Gen 50:19 | Joseph's faith in God is as strong in this scene as it has been throughout the narrative, Josephs sees the future of his family  | 
 |  |  | and God's promises to them as under the authority of God and thus above his own station  | 
You intended, God intended | what | Gen 50:20 | in one of the most famous sayings from the Bible, Joseph explains to his brothers all that has happened was a part of God's | 
 |  |  | greater plan for His people. This brings the story of Joseph and the book of Genesis as a whole to a close. God works His  | 
 |  |  | mysterious ways through the free will choices of man in ways we can not understanding, but should never doubt to trust | 
I will provide for you  | what | Gen 50:21 | Joseph remains the rich and powerful brother in His position in Egypt and continues his role of providing for His brothers | 
Joseph's long life | what | Gen 50:22-26 | The book ends with an "epilogue" of sorts informing us of the length of Joseph's life and the blessing of being able to  | 
 |  |  | see and hold his great great grandchilden | 
Joseph's final words | what | Gen 50:24-26 | Joseph's final words bring back into focus the covenantial aspect of the book of Genesis. The three patriarchs are mentioned | 
 |  |  | together here sumarising the promises of God played out in their lives and anticipating the future work of God in the lives | 
 |  |  | of His people. Joseph reminds his brothers (and the subsequent readers) the story of God's working in the lives of His people | 
 |  |  | is not finished. "God will surely come to your aid" would have rang especially true for the first generation of reciptients of  | 
 |  |  | the book as they were the ones who witnessed first hand the redemtpion from Egypt at the Exodus. The book ends anticipating | 
 |  |  | the miraculous work of God its original readers had just expierienced.  | 

## Sheet: Sheet2

## Sheet: Sheet3
