## Sheet: Sheet1
Observation | W | verse | Additional notes
God | who | Gen 9:1 | the Eternal Father, Sovereign Creator, 1st Member of the Trinity, Final Judge of all creation 
Noah | who | Gen 9:1 | son of Lamech, name is similar to the ancient Hebrew word for "Relief" has a messianic expectation 
Noah's son | who | Gen 9:1 | Shem, Ham, & Japheth… also in context, their wives as they can not "be fruitful" by themselves 
Be fruitful | what | Gen 9:1 | this is an echo or continuing of the original commmand given to Adam & Eve, it has always been man's role to fill the earth
fear & dread | what | Gen 9:2 | here we see the fear of man is "given" to the animal world, the connotation is that they may not have been until this point
everything for food | what | Gen 9:3 | regardless of the Edenic diet of man, here we see that all animals are now a Godly form of food 
you must not eat | what | Gen 9:4 | like the Garden of Eden, God still gives a "law" that man should not eat, this time of the blood animals
lifeblood | what | Gen 9:4 | the symbol of life is in the blood, this sets the stage later for the sacrifices in the Temple, and Jesus Himself shedding blood
life for a life | what | Gen 9:5 | God illustrates that man is yet again "higher" than the animals, because the life of a man will cost you your life 
image of God | what | Gen 9:6 | the reason that man's life has just a high price is that man (and man only) was made in the image of God Himself
confirm my convenant | what | Gen 9:9 | The Lord now confirms the covanent He made in the previous chapter (8:21) to not hold man's sin against the earth & animals
never again… flood | what | Gen 9:11 | the Lord provides a qualifier to His convanent, He will never again destroy all living things, with a flood
a sign of my covanent | what | Gen 9:12 | the rainbow is a sign for all generations from Noah to us today that the Lord remembers His promises 
all the earth | what | Gen 9:15 | the Noahic covenant was not just with man, but also with all the creatures of the earth
Ham | what | Gen 9:18 | Ham is the father of Caanan 
After the Flood | what | Gen 9:20 | a reference to time, the "second chance" for man to follow the Lord in life 
a vineyard | what | Gen 9:20 | just as the Lord planted a specific place called the Garden of Eden, Noah now plants a specific place, a vineyard
became drunk | what | Gen 9:21 | Noah drank enough of his wine that he was drunk and passed out, not a metaphor, literal drunken stupor
saw the nakedness | what | Gen 9:22 | this is an obvious embarassment, in ancient times dishonoring or causing an elder indignity was a grevious mistake
 |  |  | there are some who incorreclty read "saw nakedness" in the same light as "uncovered nakedness" to mean homosexual activity
walked backwards  | what | Gen 9:23 | the other brothers made sure to cover their father's indignity without increasing it by looking away
his youngest "son"  | who | Gen 9:24 | the term "son" can refer to any male relative to follow in a blood line, here it refers to Caanan, Ham's son
what his youngest "did"  | what | Gen 9:24 | the text does not ellaborate further on what Canaan did to Noah, any guesses are just that
Canaan cursed | what | Gen 9:25 | regardless of the action, we see this curse fulfilled as the children of Israel take the land of Canaan later in the Bible
350 years | when | Gen 9:28 | Noah lived this many years after the Great Flood
950 years old | when | Gen 9:29 | There is a swift decline in ages after Noah in accordance with the Lord's declaration in Gen 6:3

## Sheet: Sheet2

## Sheet: Sheet3
