## Sheet: Sheet1
Observation | W | verse | Additional notes
John  | who | John 1:15 | John the Baptist, forerunner of Jesus, son of Elizabeth & Zechariah, filled with the Spirit while in the womb
testified | what | John 1:15 | John's primary ministry was to prepare a people for the messiah, his job was to testify about Jesus
about Him | who | John 1:15 | Jesus of Nazareth
when he | when | John 1:15 | linking the time of the shouting with the testifying, John wasn't just yelling for no reason, we was addressing a group of people
shouted to the crowds | what | john 1:15 | the imagry of shouting gives the idea that there were enough people that merely speaking wouldn't have reached them all 
the one I was talking about | who | John 1:15 | John now bolding professing that Jesus of Nazareth is the one he referred to that will come "after me" 
after me | when | John 1:15 | John understood his role was to prepare a way, but not get in the way of God's ulimate plan (John 3:30)
existed long before me | when | John 1:15 | this references Jesus imortality, shows that John had a clear understanding of the true nature of Christ
from his abundance | what | John 1:16 | G4138 /PLAY-ro-mah/  that which is, or has been filled. Like a boat with sailors, or the filling of the Holy Spirit
we | who | John 1:16 | referring specifically to the Jewish people
one blessing after another | what | John 1:17 | The Jews are the recipients of the Law in the OT and the Savior in the NT, both blessing make relationship with God possible
The Law | what | John 1:17 | the Mosaic Law handed down from the beginning of the Bible
God's unfailing love | what | John 1:17 | the love of the Father that would send his one and only son to pay the penalty for our sins (John 3:16)
unique one | who | John 1:18 | unique or only begotten, literally means "single of it's own kind" refers to the uniqueness of Christ as God's only Son
is Himself God | who | John 1:18 | Biblical attestation that Jesus, God the Son, is part of the Godhead
He has revealed God to us | what | John 1:18 | the physical manifestation of Christ on earth not only paid the penalty for sin, but allowed relationship with God like never before
John's testimony | what | John 1:19 | literally testimony as a witness or before a judge
Jewish Leaders | who | John 1:19 | the high priest and his council, to led the Jewish faith from the Temple in Jerusalem
priests | who | John 1:19 | religious teachers or officials who served in the Jewish faith, but were of lower rank that those who sent them
temple assistants | who | John 1:19 | literally levites, those who served in the Temple but weren't necessarily priests
Jerusalem | where | John 1:19 | the City of God, center of the Jewish faith, home of the Temple of God
Messiah | who | John 1:19 | G5547 /Khre-STOS/ literally annointed one or messiah, in context, the promised messiah of the OT
Elijah | who | John 1:20 | the prophet Elijah from the OT, one of the most well known and respected major prophets, he also never died
prophet | who | John 1:21 | literally one who speaks or interprets, in context, the prophet of God like the prophets of old who spoke for God to His people 
those who sent us | who | John 1:22 | the Jewish leaders or ruling council that would have investigated any act of ministry or division (Acts 5:35-39)
Isaiah | who | John 1:23 | another of the major prophets from the OT, any good priest or study of the faith would know who he was
Pharisees | who | John 1:24 | one of the leading groups of priests within the Jewish faith, known for their piety and legalistic zeal
gives you the right | what | John 1:25 | the pharisees were convinced that someone needed to show a sign of the power of God to have authority to act in his Name
baptize | what | John 1:25 | to submerge beneath the water for spiritual cleasing, baptism was a well established activity in the OT (Lev 16:23-24)
right here | where | John 1:26 | John new that the Christ had come but until His baptism the world did not know who He was
ministry follows mine | what | John 1:27 | contrasting the common thought of the day that those who go first are more important
not even worthy | what | John 1:27 | the Jews considered themselves worthy because they were decended from Abraham (John 8:39) John is showing his humility
his sandals | what | John 1:27 | in a desert culture where most people waked, the feet were always dirty, serving someone's feet was considered a lowly job
Bethany | where | John 1:28 | a villiage near Jerusalem. Home of Simor the Leper (Matt 26:6) and home of Lazarus (John 11:1)
Lamb of God | who | John 1:29 | a name for Jesus that carries the illustration of the sacrifical lamb from the exodus story that saved the Jews from death
sin | what | John 1:29 | an archery term that means to "miss the mark" sin is anything that is not God's perfection
sin of the world | what | John 1:29 | Jesus' sacrifical death forgives all sin, ie the sin of everyone in the world
Israel | who | John 1:31 | not only the geographic country, but also all the people who live in it. 
Holy Spirit | who | John 1:32 | The thrid member of the trinity, God the Holy Spirit who gives power, guidance, comfort, and gifts 
dove | what | John 1:32 | usually referering to peace or safety, Noah knew the flood was over when a dove brought back an olive branch

## Sheet: Sheet2

## Sheet: Sheet3
