## Sheet: Sheet1
Observation | W | verse | Additional notes
These things | what | John 17:1 | the final and most intimate teaching that Jesus gave to His innermost disciples
Jesus, the Son | who | John 17:1 | the Son of God, 2nd Member of the Trinity, Light of the World, Promised Messiah of the Jewish People
Heaven | where | John 17:1 | traditionally thought of as "up" from earth, Heaven is the home of God, Jewish custom suggesting confidence in God
Father | who | John 17:1 | God the Father, Creator of the World, Sovereign Lord, ultimate Judge of humanity
the hour | when | John 17:1 | Jesus taught that His life & ministry were on His Father's schedule, the hour to begin redemption for mankind had come
Glorify your Son | what | John 17:1 | the Father glorifys the Son through His death, resurrection, and ascension 
glory back to You | what | John 17:1 | Jesus glorified God the Father by accomplishing the work that He had given Jesus to do
have given authority | what | John 17:2 | God the Father has given Jesus all authority over humanity 
He gives eternal life | what | John 17:2 | Jesus is given the authority to grant eternal life to each one the Father has given Him
how you have eternal life | what | John 17:3 | Eternal life is given through the saving knowledge of Jesus whom the Father sent for this purpose
brought glory to you on earth | what | John 17:4 | Jesus brought glory to God by completing the works that were set for Him to do, we glorify God in the same way
glory we shared | what | John 17:5 | the glory that Jesus will receive will return Him to the state He held in eternity past
I have revealed you (your name)  | what | John 17:6 | to reveal the name of the Lord is to teach His character and attributes of the Heavenly Father
the ones you gave me | what | John 17:6 | speaking of the original disciples directly, but indirectly all believers are a gift from the Father to the Son
kept your word | what | John 17:6 | the "keeping" of the word is the holding onto their faith and understanding that God the Father sent Jesus
the message you gave me | what | John 17:8 | the message of Salvation in Jesus is one directly from the Father in Heaven as a part of His plan for us all
prayer… for those you have  | what | John 17:9 | Jesus is directly praying for His disciples, knowing that they were each selected and called by God Himself
I am departing this world | when | John 17:10 | Jesus departed this world when He ascended to Heaven at the Ascension
protect them… be united | what | John 17:11 | once Jesus was taken into custody the unity fo the disciples faltered, but was restored at Pentecost
so that no one was lost, but one | what | John 17:12 | as illusion that Judas as the betraying disciple is lost, 
the world hates them | what | John 17:14 | the world, in it's sinful state, will never choose a holy God or His representatives
do not belong to this world | what | John 17:14 | As Christians, our final place of meaning is with the Father in Heaven, not on this earth
to take out of this world | what | John 17:15 | Just as God had done in previous times, removing someone from the Earth is an option
protect them from the evil one | what | John 17:15 | Jesus asks the Father for protection for His disciples from attack from Satan
you sent me > I am sending them | what | John 17:18 | our mission to evangelize is a direct sending from Jesus, as He was sent by His father 
not only for these disciples | what | John 17:20 | in case there was any doubt, Jesus states clearly that He is praying for anyone who will believe in Him 
they will all be one | what  | John 17:21 | Jesus prays for the unity of the coming Church as it is an example of the unity of the Father and Son
will be with me | where | John 17:24 | We have the promise that belief in Jesus will be rewarded being in the presence of Jesus

## Sheet: Sheet2

## Sheet: Sheet3
