## Sheet: Sheet1
Observation | W | verse | Additional notes
many have undertake | who | Luke 1:1 | the other Gospel writers. Most likely Mark and Matthew, as John as written after Luke-Acts 
things that have been fulfilled | what | Luke 1:1 | there is an illusion to the fulfillment of the Old Testament, though Luke was not a Jew, He did his homework and understood
(among) us | who | Luke 1:1 | the primary audience of Luke's Gospel is Christians (both Jew & Gentile) as the faith was spreading across the Roman empire
those… eyewitnesses | who | Luke 1:2 | the original Apostles. Luke was not one of the original 12, but recognized them and their calling "servants of the word" 
carefully investigated | what | Luke 1:3 | Luke explains that he took the time to gather the details in order to give the reader "certainty" or to "be sure" of his work
most excellent Theophilus | who | Luke 1:3 | the direct recipient of Luke-Acts (Acts 1:1), it is unclear as the exact identity, but most likely a Roman Offical or wealthy man
 |  |  | the name literally translates to "Lover of God", so it is likely that Luke's reader was a believer
you may know the certainty | what | Luke 1:4 | the clearly stated purpose of the Gospel of Luke, so that the reader will know the certainty of the teachings about Jesus
Time of Herod, king of Judea | when | Luke 1:5 | 37 - 4 BC, this also connectst the narrative of the Gospel to a larger "world" story by using Herod as the marker for time
priest named Zechariah | who | Luke 1:5 | the father of John the Baptist
priestly division of Abijah | what | Luke 1:5 | according to 1 Chron. 24:1-19, the priests were divided up into 24 groups and served one week twice a year, Abijah was 8th
Elizabeth | who | Luke 1:5 | the mother of John the Baptist, and relative of Mary, the mother of Jesus (1:36)
a descendant of Aaron | what | Luke 1:5 | both parents being descended from Israel's first priest, John is the last of the O.T. prophets, calling them back to the Messiah
Aaron | who | Luke 1:5 | the brother of Moses and first priest of Israel 
both were upright… blameless | what | Luke 1:6 | the character of both Zechariah and Elizabeth is without question. He is a priest, they both are blameless (to the Law) 
Elizabeth was barren | what | Luke 1:7 | a sign of disgrace at the time (1:25), the primary social unit at the time was the family, and ancestry was paramount
 |  |  | interestingsly, we see this theme in the stories of the partriarchs in Sarah (Gen 18), Rebekah (25:21), & Rachel (Gen 30:22-23)
well along in years | what | Luke 1:7 | though they didn't have the medical technology of our day, they understood conception gets more difficult with age
when… was on duty | when | Luke 1:8 | a reference to the time that shows why Zecharaiah was on duty in the Temple
chosen by lot | what | Luke 1:9 | this is not "gambling" but a way to finding the Lord's will, usually with dice (Prov 16:33), we now have the Spirit (Rom8:14) 
burn incense | what | Luke 1:9 | twice a day the priest would enter the "holy place" and burn incense before the Lord (Ex 30:7-8)
 |  |  | due to the large number of priests, this was a privelege that may have only come once in Zecharaiah's lifetime
AN angel of the Lord | what | Luke 1:11 | angelic messengers are nothing new to Scripture, in the O.T. there are instances of a pre-incarnate Christ speaks (Gen 16:7)
 |  |  | but this angel is identified clearly as the angel Gabriel (1:19)
right side of the altar | where | Luke 1:11 | this is a detail only Zecharah would have known, this shows Luke's level of detail in his investigating
gripped with fear | what | Luke 1:12 | fear is the common reaction to an angelic visitation: Giden (Judg. 6:22-2), Daniel (Dan. 8:16-17), Isaiah (Isa. 6:5)
Do not be afriad  | what | Luke 1:13 | the common first response from the angel when speaking to a human (1:13, 29-30, 2:10) 
wife will bear you a son | what | Luke 1:13 | predictions of a new birth are Biblicall common: Ishmael (Gen 16:11), Isaac (17:16,19 18:1-15), Samson (Judg. 13:2-23) 
you are to call him John | what | Luke 1:13 | Biblical names carried significance in their meanings. John means "The Lord has shown favor" to Elizabeth (and Israel) 
never take wine… Holy Spirit | what | Luke 1:15 | this is in line with the Nazarite Vow (Num. 6:1-21) with denoted special service to God, but was usually temporary in length
 |  |  | in certain cases, such as Samson (Judg 13:4-7) and Samuel (1 Sam 1:11,15), this vow could be for your entire life
filled with the Holy Spirit… | what | Luke 1:15 | it is important to remember that even though his story is recorded in the N.T. it is still O.T. law that governs God's people
 |  |  | Jesus has not resurrected yet. In the O.T. God would give His Spirit to an individual for a time and purpose (1 Sam 16:13)
turn the hearts… ready a people | what | Luke 1:16-17 | this refers back to the end of the O.T. in Malachi 3:1, 4:5-6 connecting this child to the end of O.T. prophecy 
how can I be sure?  | what | Luke 1:18 | asking for a sign to understand is common in the O.T. Abraham (Gen 15:8), Gideon (Judg 6:17)
I am Gabriel | who | Luke 1:19 | one of the only two angels named in Scripture Gabriel (Luke 1:19, 26) and Michael in Jude 9 and Rev 12:7
not able to speak | what | Luke 1:20 | this serves both as the "sign" that Zecharaih asked for as well as a rebuke for his lack of faith 
the people | who | Luke 1:21 | the other members of Zecharaiah's priestly tribe there to serve in the Temple 
why he stayed so long | what | Luke 1:21 | remember, Zecharaiah was only supposed to burn some incense and pray, his converations with the angel took longer
Elizabeth became pregnant | what | Luke 1:24 | this is not "divine intervention" in the womb, Elizabeth became pregnant during the natural course of marriage 
 |  |  | but… because of their age and no children prior, this was seen as God's "grace" on them to have a son 
five months in seclusion | when | Luke 1:24 | there is no reason given in the text for why she stayed "in hiding" for so long, other than she didn't want to be "sure"

## Sheet: Sheet2

## Sheet: Sheet3
