## Sheet: Sheet1
Observation | W | verse | , 
Jesus | who | Luke 4:14 | the second member of the Trinity, Promised Messiah, Savior of the World, Son of David, Son of Joseph 
returned to Galilee | where | Luke 4:14 | there is a gap in time between verses 13 and 14, Jesus has been teaching and news spreading, this only happens over time
power of the Spirit | what | Luke 4:14 | from this point on, Jesus' is led by and empowered by the Spirit, the same way we are to follow and trust the Spirit's leading
everyone praised Him | what | Luke 4:15 | so far, Jesus is widely liked and accepted, this is only surface level and will change soon 
Nazareth | where | Luke 4:16 | It was customary to stand while reading he words of Scripture, then sit humbly to teach 
Sabbath day  | when | Luke 4:16 | the final day of the Jewish week, their holy day of worship as set aside in Leviticus 23
synogogue  | where | Luke 4:16 | a local place of Jewish worship and teaching
as was His custom | what | Luke 4:16 | We see that Jesus had a habit of being in "His Father's House" and teaching (v15) in the synagogue
stood up / sat down | what | Luke 4:16,20 | it was customary to stand while reading he words of Scripture, then sit humbly to teach 
Isaiah | who | Luke 4:17 | one of the most well known and respected prophets of the Old Testament, his book is also called "The 5th Gospel" 
unrolling it | what | Luke 4:17 | this was not a book, there were not chapter notations, Jesus unrolled preciesely where He wanted to read 
Spirit of the Lord is on me | what | Luke 4:18 | this happened at His baptism when the Spirit decended on Him. 
he has annointed me | what | Luke 4:18 | the "annointing" is not a feeling for special power, it is the outward affect of the Spirit's presence on an individual 
proclaim the good news | what | Luke 4:18 | Jesus's mission was not to defeat Rome and free the Jews from physical oppression, this will be in His Second Coming
freedom for the prisoners | what | Luke 4:18 | this was most likely heard in the physical, but we are all prisioners of sin in a fallen world, this is the first freedom we get
sight for the blind | what | Luke 4:18 | there was a clear expectation that the ministry of the Messiah would have a noticable miraculous component 
set the oppressed free | what | Luke 4:18 | while the original hearers most definitely expected military freedom, Jesus ministry brought freedom to many who
 |  |  | were afflected with sickness and demonic oppression 
proclaim the year… | what | Luke 4:19 | this is the firs part of Isaiah 61:2, this is what Jesus fulfilled in His first coming, the second half will be at His next coming
this Scripture is fulfilled | what | Luke 4:21 | Jesus is making a clear declaration that He is the Messiah of the Jewish people 
isn't this Joseph's son | what | Luke 4:22 | even Jesus was "put in a box" by those who thought they knew him and preset their expectations of Him 
Physician heal yourself | what | Luke 4:23 | generally intended to mean "OK healer… heal yourself!" but, in this context they are asking him to do miracles for them 
 |  |  | as He had already done in other towns, they wanted to see their "hometown" boy do the same in his home town 
no prophet is accepted | what | Luke 4:24 | Jesus here begins making a point that the Jewish people have been notorious for ignorning their own prophets 
widow & Elijah | who | Luke 4:25 | from 1 Kings 17:8-24, God sends Elijah the prophet to a gentile woman instead of the Jews, this story also shows God's 
 |  |  | miraculous provision in the midst of famine, and the resurrection of the young boy as Elijah prayed for him 
Naaman & Elisha | who | Luke 4:27 | from 2 Kings 5, a gentile military officer seeks healing from the Prophet of Israel, he ends us denouncing false Gods
all the people… furious | what | 4:28 | the audience knew exactly what Jesus was saying, the idea that God would give anything good to "those people" over 
 |  |  | His "chosen people" was a matter of blasphemy and would not be tolerated 
drove him out of town | what | Luke 4:29 | this is the not the first time the Messiah's rejection would be at the ands of an angry crowd
walked right through them | what | Luke 4:30 | this is much like other supernatural acts the Savior did, He was able to walk right out of the crowd

## Sheet: Sheet2

## Sheet: Sheet3
