## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
as the time approached  | when | Luke 9:51 | this begins the "Travel Narrative" of Luke's Gospel in which Jesus intentionally goes to Jerusalem
to be taken up | where | Luke 9:51 | likely referencing Christ's assension (Acts 1:9), this could also refer to a "going up" like Moses & Elijah on their mountains
resolutely set out | what | Luke 9:51 | literally "set His face toward" This means, Jesus is focused and committed to the goal He knows is coming (9:22,44)
Jerusalem | where | Luke 9:51 | This is the "City of David" the central point of Jewish religious, ceremonial, and governmental life, Jesus city of rule.
sent messengers… ahead | what | Luke 9:52 | this could be an allusion to Mal 3:1, but more likely is Christ sending messengers into Samaria to do ministry 
Samaritan Village | where | Luke 9:52 | the Samaritans both hate and are hated by the Jews of Jesus' Day (John 4:9), many Jews would cross over the river and travel
 |  |  | to go around Samaria rather than through it. Jesus however, travelled directly through as well as stopped to call some into
 |  |  | following Him (9:57-62). Jesus saw the Samaritans not as enemies but as the mission field
people there | who | Luke 9:53 | Samairtans, the descendants of Jewish interracial marriages
did not welcome Him | what | Luke 9:53 | because of the racial tension, the Samaritan dismissed Jesus as "just another Jew" before listening to His message
disciples James & John | who | Luke 9:54 | the sons of Zebedee, also known as the "Sons of Thunder"  they were fishermen before Jesus called them (Luke 5:7)
call fire down from heaven | what | Luke 9:54 | clearly James & John did not respond well to the Samaritan rejection of Jesus, and following other OT examples of 
 |  |  | insubordinance, asked call fire down from Heaven (1 Kings 18:38)
Jesus rebuked them | what | Luke 9:55 | Jesus, not swayed by the human tradition of racial discrimination between the Jews and the Samaritans, 
 |  |  | saw the Samaritans in need of spiritual guidance not judgment (Luke 19:10)
another village | where | Luke 9:56 | another village in Samaria 
walking along the road | where | Luke 9:57 | a road in Samaria
a, another, still another man | who | Luke 9:57,59,61 |      These three instances are of "would-be" disciples seeking Christ and learning the cost of following The Way (Acts 9:2)
no place to lay His head | what | Luke 9:58 | Jesus is not saying that homelessness is holier, but following Him must mean more to you than your physical possessions
let me… bury my father | what | Luke 9:59 | Jesus is not denying a grieving man a funeral, but challening his heart that wants to wait for an inheritance before following
dead bury their own dead | what | Luke 9:60 | the spiritually dead can bury the physically dead, but those who are spiritually "alive" have a greater mission 
say goodbye to my family  | what | Luke 9:61 | Jesus is not denying love for family, but making a clear statement of priority over even our closest loved ones 
hand to plow… looks back | what | Luke 9:62 | the analogy here is one of ancient agriculture, in which the "farmer" had to keep a clear eye on the end of the field in order
 |  |  | to insure the animal yoked to the plow walked in a straight line. If one looked away, the line would be crooked, not straight.
 |  |  | Jesus, using this understanding, is referring to the quality of the ministry His followers needed to commit to

## Sheet: Sheet2

## Sheet: Sheet3
