## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
parable | what | Luke 21:29 | remember a parable is not a factual story, but a fictional one. The fig tree analogy is about time, not the tree itself 
sprout leaves… summer  | when | Luke 21:30 | Jesus uses a natural analogy to illustrate that people can "see" what time of year it is because of the change in signs
when you see these things | when | Luke 21:31 | Jesus now links the previous signs of the end times He spoke of with the fig tree as the evidence of when you will know
 |  |  | the events of the end times of the world
kingdom of God | what | Luke 21:31 | the return of the messiah and the promised Kingdom of God that would fulfill the Davidic promise to install a "forever king"
this generation | who | Luke 21:32 | not the generation that Jesus is speaking to, but the generation that would be alive when the signs happen
not pass away until… | when | Luke 21:32 | if this applies to the people hearing Jesus speaking, then it would seem to imply they would be immortal and live until His
 |  |  | return, if it applies to the generation that will see the signs, then it confirms that once "signs of the fig tree" begin
 |  |  | then the events to follow will unfold rapidly until it culminates in Jesus second coming
words with never pass away | what | Luke 21:33 | Jesus confirms the truth and weight of His words that they will be everlasting until they are fulfilled 
be careful | what | Luke 21:34 | knowing that our hearts are easily swayed by our circumstances, Jesus reminds His listeners that they must be 
 |  |  | aware of the weakness of the heart and be on the look out for it to avoid it. 
drunkenness and anxiety | what | Luke 21:34 | both of these are extremes that distract the attention, whether it was drinking that blurs the thinking, or anxiety which 
 |  |  | overloads the thinking with worry, either one distracts the Christ follower from paying attention to the signs 
like a trap | what | Luke 21:34 | the end times, while they are prophetically described and pronounced, they are still an "unknown" in the future
 |  |  | when they arrive, they will catch many off guard like a trap in the wilderness for hunting
all those… whole earth | who | Luke 21:35 | the end times will apply to all people everywhere, there will not be a group that is spared from God's judgment 
always on the watch | what | Luke 21:36 | Jesus admonishes His listeners to be constantly vigilant watching and aware of what is going on 
able to escape | what | Luke 21:36 | the ultimate escape from judgement is found only in Christ, this is why we must pray that find it, the coming tribulation 
 |  |  | will be a time of suffering and death, it will not be something to take lightly or ignore 
Son of Man | who | Luke 21:36 | an Old Testament reference for the promised Messiah from Daniel 7:13
each day  | when |  Luke 21:37 | this is each day of the final week of the Savior's life in Jerusalem. 
teaching | what | Luke 21:37 | throughout his gospel, Luke has presented the Savior as a teacher and healer, this theme continues in His last days 
at the Temple | where | Luke 21:37 | Luke closes out this section where he began with Jesus teaching in the Temple 
each evening  | when  | Luke 21:37 | Jesus spends His final week teaching in the day, and wih his discples and Father in the evenings
mount of olives | where | Luke 21:37 | this is a literal place of elevation to the east of the city of Jerusalem where olives were grown
people came to hear him  | what | Luke 21:38 | this statement verses as the trasition to the next chapter, it is the reason the religious leaders want to kill Jesus
 |  |  | with the holiday coming and more people travelling to Jerusalem, the Pharisees want Jesus out of the way before 
 |  |  | He garners any more attention than He already has taken from them. 
Feast of Unleavened Bread | what | Luke 22:1 | By the time of the New Testament, three separate holidays were combined under the heading "Passover" they are 
 |  |  | Passover (the night itself) which was on Nisan 14
 |  |  | Unleavened Bread which was from Nisan 15 to Nisan 21
 |  |  | First Fruits which was on Nisan 16
chief priests / teachers | who | Luke 22:2 | the religious elite, those who should have been pointing the people to the Messiah are in fact trying to keep them from Him 
afraid of the people | what | Luke 22:2 | they are not afraid of the people in the sense that the crowd would harm them, but rather that the fickle crowds would
 |  |  | revolt and take their positions of authority away 
Satan | who | Luke 22:3 | the fallen angel, father of lies, also called Lucifer, the tempter
Judas Iscariot  | who | Luke 22:3 | this is the disciple who will betray the Lord, the reason for using his last name is because they was another Judas in the
 |  |  | chosen disciples of Christ also named Judas, he was the son of James (see Luke 6:12-16)
entered Judas | what | Luke 22:3 | scholars debate the nature of the demonic "entering" or "influence" over Judas' heart. What is sure, is that Judas' actions
 |  |  | directly play into the hands of what Satan is scheming and thus accomplishes Satan's directed will. Whether Judas was 
 |  |  | completely and utterly powerless to withstand the demonic possession is debateable. 
went to the priests | where | Luke 22:4 | now under the influence of Satan, Judas goes to the very people desiring the Savior's life and brokers a deal for His betrayal
delighted… give him money | what | Luke 22:5 | the chief priests are delighted at the opportunity to use Judas' betrayal. They offer money in exchange for Judas's aid
 |  |  | we know that Judas had a weakness for money because he used to help himself to the money given to Jesus' ministry 
 |  |  | we see this in John 12:6
watched for an opportunity | what | Luke 22:6 | how interesting that Jesus just finished calling his discples to be watchful and ready, and now we see Judas doing 
 |  |  | exactly that, but for the purpose of betraying Him, not preparing for His return. 
no crowd was present | what | Luke 22:6 | as much as the religious leaders wanted Jesus out of the picture, their fear of the crowds who (a) viewed Jesus as a prophet
 |  |  | and (b) fed their own prideful need for recognition drove them to work out this clandestine plan to arrest the Savior 
Observation | W | Verse | Thoughts / Details

## Sheet: Sheet2

## Sheet: Sheet3
