## Sheet: Sheet1
Observation | W | verse | Additional notes
Therefore | what | Rom 8:12 | another "stacking" term, Paul now stands on the truth of v11 (The Spirit lives in us) to make his next point
brothers and sisters | who | Rom 8:12 | Paul is address all Christians at Rome, both men and women, Jew and Gentile
have an obligation | what | Rom 8:12 | the orignal word here carries the understanding of a debt that is owed. Because the Spirit lives in us, we OWE to Him 
  - not to the flesh | what | Rom 8:12 | to stave off the possibility that anyone may misundersatnding him, Paul is clear the "debt" is not to the flesh, but the Spirit
  - to live according to  | who | Rom 8:12 | our "debt" because of the Spirit's living within us, is the responsibility to live according to the Spirit 
live according to the flesh | what | Rom 8:13 | a life lived "under" or "according to " the flesh is one in which the flesh directs and/or influences life choices and actions
  - you will die | what | Rom 8:13 | this is a repeat of 6:23, the "wages" or earnings for the life lived under the direction of the flesh is death
live according to the Spirit | what | Rom 8:13  | opposite the previous, living according to the Spirit is a life in which the Spirit directs and/or influences life choices
  - put to death the misdeeds | what | Rom 8:13 | this is a metaphorical "death" in the sense that when we live by the Spirit, we don't do the deeds directed by the flesh
those who are led  | what | Rom 8:14 | again, Paul directs the thinking of the audience to a "leader and follower" dynamic, us being the latter not the former
  - by the Spirit of God | what | Rom 8:14 | one cannot be led by the Spirit and by their own thinking and desires at the same time. We must choose one.
    - are children of God | who | Rom 8:14 | we are the children of God when we live in obedience to Him, directing our life choices by His Spirit 
The Spirit | who | Rom 8:15 | the third member of the Trinity, the Holy Spirit of God 
  - you received  | what | Rom 8:15 | Paul reminds the reader the Spirit was not something we had all the time, but was "receieved" from God. This refers to the 
 |  |  | indwelling of the Spirit, NOT  the filling of the Holy Spirit as pentecostals would refer to it. 
     - does not make you slaves | what | Rom 8:15 | the final effect of the Spirit's indewlling in our lives is not to make us slaves in order that we would live in fear, but rather 
     - adoption |  |  | that as children of God (v14) we would receive our adoption (this is why the reception is the indewlling and not filling, 
 |  |  | the indwelling is the sign of adoption, the filling is the reception of power)
The Spirit Himself testifies | what | Rom 8:16 | the Holy Spirit of God attests on our behalf that we are indeed children of God 
children and heirs | what | Rom 8:17 | Paul now makes an appeal to the nature of inheiritence and sonship. Because we are children of God, we are then given the 
 |  |  | right and priviliege to be an heir of his, thus a promised inheritence is forecoming. This would sound very familiar to Jewish 
 |  |  | Christians of the day who understood well the stories and purpose of God in the Abrahamic, Palestinian, and Davidic 
 |  |  | coventants in which God promised a future inheritence for His children, Isreal. This also illustrates the fact that Gentile 
 |  |  | Christians are also a part of the inheritence plan of God as they are also children through the Spirit 
share in sufferings / glory | what | Rom 8:17 | being a child of God does not automatically make one ineligible for hardship. Quite the contrary, Paul expects to share in the
 |  |  | sufferings with Christ in this life AND in the glory of Christ in the next life. 
are not worth comparing | what | Rom 8:18 | Paul makes a direct compare/contrast betweent the present suffering he endures with the coming glory in which he will 
 |  |  | participate. Often, Christians are distracted by the hardships of life on this earth because they do not keep them in careful 
 |  |  | balance and focus with the glory and grace awaiting us in the life to come. It is in this balance that we should find peace
creation subjected to frustration | what | Rom 8:19 | one must remembrer the entrance of sin into the world (Gen 3) scarred not only humanity but the planet itself
creation be liberated | what | Rom 8:20-21 | the final goal of the End of Days will be to restore to a new heaven and a new earth, the faithful believers who will inherit it
pains of childbirth | what | Rom 8:22 | the imagery here alludes to a set time for the the "birth" of the restoration, but that it is not yet completed 
firstfruits of the Spirit | what | Rom 8:23 | the indwelling and infilling of the Holy Spirit is the "downpayment" or first fruits of the Spirits work in us. What we have now
 |  |  | is (a) something no other faithful people had in a previous epoch of faith, but also (b) are not the full power we will have later
adotpion > redemption… bodies | what | Rom 8:23 | notice Paul links the theological concepts of adoption with that of BODILY redemption, the Christian faith's view of this is 
 |  |  | eternal resurrection is not one of etherial or magical states, but a bodily resurrection of our own selves for eternity 
hope that is seen  | what | Rom 8:24-25 | Paul illustates that the fact we "hope" at all illustrates that we have not yet received what we expected, ie the resurrection 
 |  |  | we have a future hope, resurrection, adoption, justification and inheritence. We know this because we have already 
 |  |  | received the "downpayment" of the Holy Spirit as the assurance of our blessed future. 

## Sheet: Sheet2

## Sheet: Sheet3
