## Sheet: Sheet1
Observation | W | verse | Additional notes
Peter | who | Acts 4:1 | one of the closest three disciples, brother of Andrew, fisherman, early leader in the church, wrote 1st & 2nd Peter
John  | who | Acts 4:1 | one of the closest three disciples, brother of John, fisherman, early leader in the church, wrote 5 books in the NT
the people | who | Acts 4:1 | the Jews in the 1st Century, most likely at the Temple, following the healing from the previous chapter
the priests | who | Acts 4:1 | Jews who taught in the Temple, intorerance to the gospel from a religious stance
temple guards | who | Acts 4:1 | Jews who worked at the Temple as the security force, intolerance to the gospel from a political or powerful stance
Sadducees | who | Acts 4:1 | main camp of Jewish leaders, intolerance to the gospel because of unbelief in the resurrection 
distrubed at the Teaching | what | Acts 4:2 | the Jewish leaders were disturbed at their teaching, because it elevated Jesus above the traditional teachings
resurrection of the dead | what | Acts 4:2 | this must stand apart from the final resurrection and judgement, this is the resurrection in Christ to a new life 
arrested them | what | Acts 4:3 | this is the first instance of persecution of the early church, a feature that defines the beginning of our faith 
in jail  | where | Acts 4:3 | this would not be the last time an apostle is jailed for preaching the Gospel of Jesus Christ
until morning | when | Acts 4:3 | holding them in jail until the morning was more convienent, but also could have been to intimidate
5,000 believers | who | Acts 4:4 | the number of believers (mostly Jewish) who now believe in Jesus
women and children | who | Acts 4:4 | the number of believers did not include the count of women and children
the next day | when | Acts 4:5 | having held Peter and John over night in jail, they conviene the next day to speak to them
rulers, elders, teachers | who | Acts 4:5 | pretty much all the powerful people who had a leadership role in the Jewish nation 
Jerusalem | where | Acts 4:5 | the home of Temple, captial of Judea
Annas | who | Acts 4:6 | the father in law of Caiaphas, also interogatted Jesus
Caiaphas  | who | Acts 4:6 | the high priest of Isreal
John and Alexander | who | Acts 4:6 | nothing else is known about these individuals
by what power… whose name | what | Acts 4:7 | their question again reveals their position, they are concerned with the justification of power, but didn't deny the miracle
being filled with | what | Acts 4:8 | being "filled with" is not an additional filling from the Lord, but an expression of Spirit-born boldness or power
the Holy Spirit | who | Acts 4:8 | the 3rd member of the Trinity, our Comforter, Healer, and empowerment to the work of ministry
being questione today because… | what | Acts 4:9 | Peter saw through the mask, it wasn't the healing, but the name of Jesus that was such a big deal to the establishment
good dead for a crippled man | what | Acts 4:9 | remember this man begged at the gate of the Temple, the religious leaders never healed him though he was so close 
let me state clearly to all of you | what | Acts 4:10 | Peter, as in the last chapter, sees his opportunity to preach to the religious establishment and does so boldly
you cruified, but God raised | what | Acts 4:10 | Peter elevates Jesus above that of his current audience by showing God raised Jesus after they put him to death
stone you builders rejected | what | Acts 4:11 | from Psalm 118:22, there was no place, let alone a prominent one, for Jesus in the Jewish religious establishment
now become the cornerstone | what | Acts 4:11 | Jesus is the foundational piece of the new covanent of faith between God and fallen humanity 
there is salvation is no one else | what | Acts 4:12 | no longer would the name of Abraham, Isaac, Jacob, Moses, or David be of use for salvation, as if it ever really was…
no other name by which …. Saved | what | Acts 4:12 | the cornerstone teaching of Christianity, Jesus (and no one else) saves, don't forget Peter denied Jesus 3 times!
no special training in the Scriptures | what | Acts 4:13 | Jesus promised that the Holy Spirit would give them the words to say (Matt 10:19-20) 
recognized them … with Jesus | what | Acts 4:13 | there comes a point when the evidence of being with Jesus is obvious in one's life, as is the absense of it. 
since they could see… | what | Acts 4:14 | there was no way to deny the miracle that stood before them, their very eyes were a witness to the message of Jesus
nothing they could say | what | Acts 4:14 | crafty and skilled with the Law they may have been, but no words or human solutions can overtake the miracle of God
ordred them out… conferred | what | Acts 4:15 | they needed time to craft their response to Peter and John, as they can't deny the miracle 
keep them from speading their… | what | Acts 4:17 | because the leaders couldn't deny the miracle, they had to try and shut them up instead, the Spirit's power was evident
do you think God wants us… | what | Acts 4:19 | they same man that denied Jesus to servants is now disobeying the Jewish leaders to their face! 
threatened them further | what | Acts 4:21 | the council had to real power to stop them, but was worried about their own power and influence over the people
praising God for this miracle | what | Acts 4:21 | the only appororiate outcome for any move of God should be God's glorification, not ours
lame for more than 40 years | what | Acts 4:22 | the power of God can change a life not matter how long it has been broken, we need to have that faith today

## Sheet: Sheet2

## Sheet: Sheet3
