## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details | 
arrived at Jerusalem | when | Acts 21:17 | after a long journey, Paul finally arrives in Jerusalem, similar to Jesus Jerusalem journey in Luke's Gospel (19:28-40) | 
brothers and sisters | who | Acts 21:17 | other believers in Jerusalem. Note again Luke's making a point of women and men in the Church  | 
received us warmly  | what | Acts 21:17 | it is likely here where Paul delivers the large offering collected from the Gentile churches. It is no wonder they received | 
 |  |  | him well. Luke also draws an interesting parallel with Jesus's initial reception in Jerusalem (Luke 19:38) | 
the next day  | when | Acts 21:18 | Paul arrived on the first day and then spent the evening, likely with friends before meeting with James & the elders  | 
the rest of us | who | Acts 21:18 | this group clearly includes Luke (note "we") however, could also include the other 'delegates' mentioned earlier (20:4-6) | 
went to see James | who | Acts 21:18 | this 'James' is not the brother of the Apostle John, but rather James the younger brother of Jesus. He is sometimes | 
 |  |  | called James 'the lesser' or 'the younger' bother of Jesus of Nazareth  | 
all the elders | who | Acts 21:18 | by this time, leadership of the Jerusalem church had passed to James along with a team of elders.  | 
Paul greeted and reported | what | Acts 21:19 | the Greek wording here gives the impression that Paul was very thorough in his description of his ministry  | 
God had done… | what | Acts 21:19 | in his report, Paul was sure to place the focus on what God was doing and not himself.  | 
when they heard… praised | what | Acts 21:20 | the initial response to Paul's report was one of great elation and worship of God, sadly this tone changes quickly  |   
thousands of Jews | who | Acts 21:20 | James & the elders of the Jersusalem church bring the focus back to Jewish Christians, some of whom may not have | 
 |  |  | accepted the Gentile inclusion in the church even though the Jersualem Council (Acts 15) had accepted them  | 
zealous for the law | what | Acts 21:20 | the union of OT Law and NT grace was a very powerful belief for the first century Jewish Christians who still lived by the Law | 
they have been informed  | what | Acts 21:21 | the rumor about Paul is both false and intentionally being spread, this is not an accident but a direct attack on his ministry | 
Jews who live among Gentiles | who | Acts 21:21 | this is what is meant by the term "Diaspora Jews" they are Jews living 'dispersed' in the Gentile population  | 
two-fold accusation  | what | Acts 21:21 | the accusation against Pual here is two-fold: (1) teaching Jews to ignore circumsion, which was the sign of the covenant  | 
 |  |  | relationship between Israel and God Himself, see Gen 17:10;   (2) ignore Jewish living customs, the result of this would  | 
 |  |  | be ritual or ceremonial uncleanliness, this could also be seen as not holding the Temple and tradition in high regard  | 
what shall we do? | what | Acts 21:22 | James and the elders already knew the problem existed, and they are worried about the trouble Paul's presence will cause | 
four men… made a vow | who | Acts 21:23 | these men have most likely made a Nazarite Vow, and they are nearing the time to pay the expense and go to the Temple | 
join their purification | what | Acts 21:24 | Paul knows that he is not 'unclean' however, he likely pariticpated in order to keep the peace, see Num 6 for Nazarite vows | 
then everyone else will know | what | Acts 21:24 | this entire ordeal was not for Paul's cleanliness, but the opinions of the crowd who had been told lies about him  | 
As for Gentile believers | what | Acts 21:25 | here we have a repeating of the ruling of the Jerusalem Council from Acts 15 | 
Jews from Asia  | who | Acts 21:27 | these maybe some of the same Jews who Paul contended with while on his missionary travels  | 
stirred up the crowd | what | Acts 21:27 | again, Luke draws another parallel with Jesus, Paul (innocent) faces and angry mob in the Temple who wants to kill him  | 
brought Greeks to the temple | what | Acts 21:28-29 | this accusation is a false guess at best. Seeing Paul with a Greek and claiming he escorted him into the Temple is a stretch | 
 |  |  | at best, at worst, it reveals the lengths Paul's accusers will go to side track his ministry or kill him if they can  | 
the whole city | who | Acts 21:30 | the anti-Paul instagators have the home field advantage to finally get the mob reaction to Paul they have been seeking | 
dragged from the Temple | where | Acts 21:30 | it is interesting that a moment filled with such Jewish-centered passion and anger would be moved FROM the Temple | 
 |  |  | but they  take Paul outside and back into the area of Roman jurisdiction in order to beat Paul  | 
trying to kill him  | what | Acts 21:31 | Luke does not leave the intentions of the crowd to chance, he clearly states that they are trying to kill him  | 
commander of Roman troops | who | Acts 21:31-33 | interesting that it is the Romans who 'save' Paul from the crowd by putting him in chains. This both confirms the  | 
 |  |  | prophecy of Agabus (21:11) and shows it in a different light. Paul was indeed arrested, but for his own protection as well | 
what he had done | what | Acts 21:33-34 | the Roman troops could care less about Jewish law, they were more concerned with keeping the peace in the city and  | 
 |  |  | were trying to ascertain what this man had done that caused the crowd to attempt to kill him, there was no clear consencus | 
Paul taken to the barracks | what | Acts 21:34 | this would have served as his protection, but also facilitated his interogration as well | 
Get rid of him | what | Acts 21:35-36 | Luke draws another parallel with Jesus here in the roman protection and Jewish rejection of God's servant. The words  | 
 |  |  | used here by the crowd echo the words said about Jesus in Luke 23:18 | 

## Sheet: Sheet2

## Sheet: Sheet3
