## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
set sail for Italy | when | Acts 27:1 | the following narrative is Paul's journey from Caesarea to Rome, where God is sending Him, this frames the story  | 
Paul and other prisoners | who | Acts 27:1 | Paul is still held under guard at this point, he has not been found guilty, but also can not be released (26:32) | 
a centurion named Julius | who | Acts 27:1 | a ranking member of the Roman military in charge of 100 men, now tasked with prisoner transport  | 
We boarded a ship | who | Acts 27:1 | another of the "we" passages, this suggests that Luke was a part of the journey to follow on board with Paul  | 
from Adramyttium | where | Acts 27:2 | this is a city just south of Troas on the western coast of Asia. The ship was not from the port which Paul boarded it  | 
Aristarchus | who | Acts 27:2 | one of the "delegates" named in Acts 20:4 and was also present at the riot in Ephesus in Acts 19:29 | 
friends provide for his needs | what | Acts 27:3 | it is unclear in the original text whether Paul went to his "friends" or they came to him, but Sidonian Christians did help | 
landed at Myra | where | Acts 27:5 | the first part of the journey tracks along the coastline for two reasons: (a) it protects the ship from the harsher winds | 
 |  |  | in the open water; (b) it allows the ship to take advantage of currents along the coastline  | 
Alexandrian ship  | what | Acts 27:6 | the fact that this ship was coming from Egypt gives credence to the idea that it was one of the fleet of grain ships | 
 |  |  | carrying grain from Egypt to Rome for sale in the marketplace.  | 
Cnidus to Fair Havens | where | Acts 27:7-8 | the next leg of Paul's journy begins to cross open waters and is setback by the strong winds in the Autumn months | 
sailing… become dangerous | what | Acts 27:9 | the time from mid september through to late november was dangerous because of the wind and weather, only the most | 
 |  |  | urgent sea travel was done at this time.  |   
I can see our voyage | what | Acts 27:10 | this does not necessarily imply divine direction, Paul could be speaking out of his expierience as a traveller  | 
harbor was unsuitable | what | Acts 27:12 | the harbor apparently did not have enough supplies or access to a town in order to sustain the ship's crew and passengers | 
to reach Phoenix | where | Acts 27:12 | there is some debate as to where this port is, but most agree it was on the western side of the island of Crete | 
gentle wind | what | Acts 27:13 | the gentle breeze was a warning of what is coming, but was misread by the sailors who lead themselves into the storm | 
gave way to it | what | Acts 27:14-15 | in order to save the ship from being torn apart by the wind and waves, they pulled up the oars and dropped the sails | 
 |  |  | this puts Paul, and everyone else on board the boat in the hand of God as HE directs the storm and the ship  | 
passed ropes under the ship | what | Acts 27:17 | this is a process known as "frapping" and was intended to add strength to the hull of the ship in the weather  | 
throw cargo overboard | what | Acts 27:18 | in order to make the ship lighter and allow it to travel higher in the water  | 
neither sun nor stars | what | Acts 27:20 | this means the ship was without any way to navigate or even able to asertain their own position, they were sailing blind | 
gave up all hope | what | Acts 27:20 | the souls on board loose all hope of being saved from the storm  | 
Paul stood up | what | Acts 27:21 | Paul now addresses the sailors, soliders, and prisoners with boldness and encourages them with news of an angelic visit | 
angel of God | what | Acts 27:23-24 | in this seemingly hopless circumstance, God intervenes with His chosen apostle to bring a message of salvation to the lost | 
we must run aground | what | Acts 27:26 | Paul was also a man of practicaility in his faith, he knew that while God would save them, they would have to leave the ship | 
fourteenth night | when | Acts 27:27 | two weeks the ship was adrift in this big storm being pushed further and further west | 
approaching land | what | Acts 27:27 | if it is still night in a cloudy storm, obviously they are not seeing the land, logic suggests they heard the surf on the beach | 
took soundings | what | Acts 27:28 | the soundings the sailors take confirm their theory, the water is getting shallower as they approach land  | 
take some food | what | Acts 27:33-34 | Paul cares not only for the emotional needs of the passangers, but knows they will need their strength to swim to shore | 
broke bread  | what | Acts 27:35 | some have suggested this symbolizes a "communion service" with the other believers on board, that is not necessary | 
 |  |  | as the breaking of bread was also a common reference to eating together, nothing else reads of a worship service here  | 
276 of US on board | what | Acts 27:36 | Luke names himself among the ships compliment and now gives us an idea of how many lives are at stake  | 
saw a bay | what | Acts 27:39 | today there is a bay on the island of Malta named, "St Paul's Bay" which is the traditional site of this landing  | 
ran aground, stern broken | what | Acts 27:40-41 | the situation now turns worse, they can see the land, but are stuck and the ship is breaking up in the pounding surf | 
kill the prisoners | what | Acts 27:42 | the soliders know well the penalty for allowing a prisoner to escape, given the choice they would rather kill them be killed  | 
spare Paul's life | what | Acts 27:43 | again we see the Roman military providing protection for Paul, this time from rogue soliders who wanted to kill him  | 
pieces of the ship | what | Acts 27:44 | interestingly, this can also be translated as "sailors of the ship" meaning those unable to swim may have been carried  | 
 |  |  | by the more experienced sailors who all would have known how to swim well  | 
everyone reached land | what | Acts 27:44 | this part of the narrative ends illustrating the truthfulness of God's Word again, all were spared from the storm at sea | 

## Sheet: Sheet2

## Sheet: Sheet3
