## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
priests, guards, Sadducees | who | Acts 4:1 | representing three different people groups, the opposition to Peter and John was united from the Jewish leaders side 
Peter and John | who | Acts 4:1 | two of the "inner three" of Jesus chosen disciples / apostles 
while they were speaking | when | Acts 4:1 | continuing the narrative from the previous chapter, the religious interupt Peter and John while speaking to the people 
they were greatly distrurbed | what | Acts 4:2 | the religious ruling class are emotionally affected by the preaching of Peter and John 
teaching the people | what | Acts 4:2 | this was the private purvue of the religious leaders, to have untrained (v13) men teaching in the Temple was dangerous
proclaiming… resurrection | what | Acts 4:2 | the Saducees didn't believe in the resurrection (Acts 23:8), so teaching one at all would be in direction opposition to 
 |  |  | their beliefs, preaching ressurection in Jesus, the man that the Sandhedron killed was also an insult 
evening… jail… next day  | when | Acts 4:3 | the miracle of ch 3 happened at 3:00pm, it was too late to gather the Sanhedron, so they held Peter and John overnight 
 |  |  | the Sanhedron was not permitted to hold trials at night, according to historical records 
many believed  | what | Acts 4:4 | the product of Peter's preaching was still seen in the new converts to Christianity 
about 5,000 | who | Acts 4:4 | there is some debate whether this 5,000 includes the previous 3,000 men at Pentecost. 
the next day  | when | Acts 4:5 | after the night's stay in a jail, the narrative returns at the very next day 
Annas, high priest | who | Acts 4:6 | Annas is not actually the ruling high priest at this point, as he was not in the trial of Jesus, but he is allowed to keep the title
Caiaphas  | who | Acts 4:6 | this is the ruling high priest of the Sanhredon at this moment 
John / Alexander | who | Acts 4:6 | little to nothing is known about these men, though it is speculated they are sons of Annas 
began to question them  | what | Acts 4:7 | the trial before the Sanhedron begins with interogative questions 
by what power / name…?  | what | Acts 4:7 | the apparent line of questioning seems to illustrate that the religious elite is attempting to invalidate the miracle that
 |  |  | stands before them by disqaulifying it as being done "by the power of" or "in the name of" something other than God 
filled with H.S. said to them | what | Acts 4:8 | here we see again the Spirit of God "filling" or empowering Peter to speak on behalf of the miracle that had been done. 
 |  |  | unintentionally, the Sanhedron has created another high profile opportunity for Peter to preach Jesus to his fellow Jews
Rules / Elders of the people | what | Acts 4:8 | like Peter's previous two sermons, the intended audience of his message is Jewish, in this case, Jewish leaders 
called to account | what | Acts 4:9 | it seems as if Peter is being almost snarky or sarcastic in his opening remarks to the Sanhedron. This must have been out 
 |  |  | of the ordinary as most people in Peter's day would have been intimidated by the ruling council 
by the name of Jesus | what | Acts 4:10 | Peter, again, wastes little time in bringing the focus of his message to Jesus as in the two previous sermons 
you crucified, God raised | what | Acts 4:10 | like his previous sermons, Peter holds the Jewish leaders and people responsible for the death of the Messiah, while also 
 |  |  | recognizing God's sovereign power in working through their selfish actions 
stands before you healed |  what | Acts 4:10 | the Sanhedron is not able to deny the healing of the man as he is STANDING in their midst. The miracle could not be denied. 
stone… rejected… capstone | what | Acts 4:11 | Peter quotes from Psalm 118:22, again interpreting it messianically to speak of Jesus who God was now glorified 
salvation is found in no one | what | Acts 4:12 | this is very early attestation of the doctrine of salvation from one of the first sermons about Jesus. Jesus Himself said 
 |  |  | "no one comes to the Father…" John 14:6, here Peter attests to his belief in the same supremecy of Christ for salvation 
when they saw… courage | what | Acts 4:13 | the Sanhedron takes notice of the couragous preaching of Peter and John, knowing that they are only fishermen, this is 
 |  |  | a great example of the Spirit encouraging and empowering Christians to witness in any field 
nothing they could say | what | Acts 4:14 | notice it was not the words of Peter, but the miracle done in the name of Christ that silenced the Sanhedron, even thought
 |  |  | I (pastor Bill) love apologetics, you can not argue someone into faith, they must come face to face with the power of God 
everyone living in Jerusalem | who | Acts 4:16 | this is a powerful testimony to the speed at which the message of the miracle spread throughout the city 
to stop this thing… | what | Acts 4:17-18 | we see here the primary motivation of the Sanhedron is not to glority God, but to protect their control of the people 
judge for yourselves  | what | Acts 4:19 | Peter, with amazing boldness, tells the "supreme court" of his day to "judge for themselves" between God and man 
speak about… seen & heard | what | Acts 4:20 | again we see the purpose of the early church (and really our church today) is to be witnesses of Christ's resurrection Acts 1:8
after threats | what | Acts 4:21 | having nothing they could do, the Sanhedron resorted to childish threats because they were ultimately powerless 
all the people… praising God | what | Acts 4:21 | interestingly, the people are praising God for the miracle they can clearly see HE DID. The religious elite are so blinded 
