## Sheet: Sheet1
Observation | W | verse | Additional notes
that evening | when | Gen 19:1 | the evening of the same day that the Lord spoke with Abraham in the previous chapter (Gen 18:1)
two angels | who | Gen 19:1 | the same two angels that were with the Lord at Abraham's home (Gen 18:2)
entrance of the city of Sodom | where | Gen 19:1 | we see the end of the journey that the angels began in the last chapter (Gen 18:6)
Lot | who | Gen 19:1 | nephew of Abraham, grandson of Terah, parted with his uncle when their holdings needed more space (Gen 13:9)
My Lords | who | Gen 19:2 | literally "Adonay" a plural form of my Lord or Master, clearly Lot recognizes these angels carry the authority of God
come to my home | what | Gen 19:2 | Lot's first reaction to the presence of God's authority is to welcome them into his own home
to wash your feet | what | Gen 19:2 | Lot's second response to the angels presence is to serve them by washing their feet, this shows hospitality and humility
be my guests for the night | what | Gen 19:2 | whether Lot was protecting the men from the townsmen is unlcear, either way, Lot's hosptiality extended to provision
get up early in the morning | what | Gen 19:2 | if Lot was protecting them, then the "early" could be a reference to them again being shielded from the sleeping sinners
 |  |  | if Lot is just being a humble servant, than the "early" could be seen as Lot repecting the importance of their travelling on 
spend the night | when | Gen 19:2 | the angels intended to spend the night in open exposure to the city of sin itself
city square | where | Gen 19:2 | the "city square" being a representation of not only the central place, but mentality of the city as a whole
But Lot insisted | what | Gen 19:3 | Lot is either insisting to "protect" the holiness of the angels from the sinfulness of his neighbors or…
 |  |  | he is trying to ensure that He is the one who gets to care for and serve the servants of the Living God
Lot prepared a feast for them | what | Gen 19:3 | just as his uncle had done that day, Lot prepared a feast for them. The true presence of God draws us to sacrifice for Him
fresh baked bread | what | Gen 19:3 | Abraham also had Sarah bake fresh bread for the Lord and His angels to honor and serve them (Gen 18:6)
before they retried | what | Gen 19:4 | sin often has a little patience. The men of the city did not wait long before they came seeking Lot's guests 
all the men, young and old | what | Gen 19:4 | sin knows no age limit, once a sinful practice takes root in a culture, it will filter to all ages before long
surrounded the house | what | Gen 19:4 | surrounding the house and shouting to Lot are both evidence of the level of abject sinful lust to which they had fallen
where are the men | what | Gen 19:5 | this is clearly homosexual group sex, the men (young and old) want to as a group have sex with the two angels
shutting the door behind | what | Gen 19:6 | Lot either closed the door to sheild the angels (again) from the rampant debauchery of the city, or to further protect them
don't do this wicked thing | what | Gen 19:7 | Lot clearly understood that the homosexual rape that the crowd was insisting was in and of itself sinful and wicked
 |  |  | this, in my opinion, gives credence to the idea that Lot intention the whole time was to protect his travelling guests
I have two virgin daughters | what | Gen 19:8 | Lot offers his two daughters to the lust-driven crowd as a means to slate their lust in a "less sinful" way than gay rape
 |  |  | this shows both Lot's understanding of their wickedness as well as his own acceptance of sexual sin being too close to Sodom
came to town as an outsider | who | Gen 19:9 | though Lot lived in Sodom he was never "of" Sodom, he was still trying to live morally upright, but being trapped by sin
acting like our judge | what | Gen 19:9 | the sinful always feel "judged" by the righteous. Though it is not us who judge at all, but the Father who sends condemnation
treat you far worse | what | Gen 19:9 | lust often answers with anger when it's demands are not met, desire leads to destruction 
break down the door | what | Gen 19:9 | the men of Sodom are so overcome with homosexual lust that the are going to forcibly remove the angels from Lot's home
two angels | who | Gen 19:10 |  the actual Hebrew word here is "men" the NLT translators are helping you to see that the two men are in fact angels
pulled Lot into the house | where | Gen 19:10 | Lot's home, arguably the only God-fearing home, is now the place of protection for Lot and his family 
bolted the door | what | Gen 19:10 | the Hebrew reads, "shut the door" this does not rule out the idea that a door lock existed, it's just in how you interpret "shut"
blinded all the men | what | Gen 19:11 | the first & immediate punishment for the rampant lustfulness was blindness.  One of Viagra's side effects is blindness. 
gave up trying to get inside | what | Gen 19:11 | man's lust is primarily a visually driven sin, taking away their site partialy slaked their lust, but also inhibited their pursuit
Do you have any other relatives | what | Gen 19:12 | the angels are not God Himself, they are not omniscient thus they don't actually know if Lot has more relatives 
son in laws, sons, any other | who | Gen 19:12 | "son in law" suggests  that Lot's daughters were engaged, and yet were still virgins, this illustrates a higher moral compass
destroy the city completely | what | Gen 19:13 | sin brings destruction all the time, when removing sin from your life, it must be "scortched earth" no compromise is worth it
the outcry… is so great | what | Gen 19:13 | the "outcry" is from the victims and oppressed in the city, calling for a deliverer. Sexual sin always has victims. 
sent us to destroy it | what | Gen 19:13 | while the angels are the means by which the city is destroyed, they are not the cause of it's destruction, it was God's plan
daughter's fiance's | who | Gen 19:14 | Lot's daughters were both engaged to Sodomites, another exmaple of the level of familiarity Lot had with Sodom
 |  |  | The Hebrew custom of marriage began at the engagement, and was consumated a year later after the wedding itself
thought he was joking | what | Gen 19:14 | how often does the warnings of the Godly sounds foolish to the sinful, Lot's future son-in-laws were not God fearing
Dawn the next morning | when | Gen 19:15 | sunrise the very next day, symbolicialy the light finally being shed onto the darkness of the city of sin
Hurry… right now | what | Gen 19:15 | there is a clear urgency to the judgent of Sodom, the angels pushed Lot and his family to hurry out 
take your wife and daughters | who | Gen 19:15 | it is only Lot an his immediate family that escapes. Like the coming judgment day, it will happen when we are unaware
swept away in the destruction | what | Gen 19:15 | the fact that they had to get out of the way illustrates that God's judgment was already forthcoming, it isn't waiting now
Lot hesitated | what | Gen 19:16 | In my opinion, Lot hestitated for the same reason he chose to move there in the first place, it was attractive to him 
angel seized the hands  | what | Gen 19:16 | we're not told whether Lot's wife and daughters believed the angels warning, but either way they are forcibly saved
Lord was merciful | what | Gen 19:16 | The Lord provided mercy not only to Lot in saving his family, but also to Abraham who interceded for them last chapter
run… don't look back | what | Gen 19:17 | when fleeing sin, the best speed is the fastest you can, there is no value is slowing, looking back, or waiting
run to the mountains | what | Gen 19:17 | the mountains or wildnerness are the opposite of the sinful city, isolated, solitary, and "alone" with God
you have been graciou… but | what | Gen 19:18-20 | Lot now tries to bargain with the angel to stay in a "town" instead of the wilderness where the Lord wanted to take him 
do nothing until you arrive | what | Gen 19:22 | this shows the providence and plan of God to spare Lot from the destruction of the city by the angel
sun rising over the horizon | what | Gen 19:23 | Lot reached Zoar or "the little place" just as the sun began to breach the horizon
