## Sheet: Sheet1
Observation | W | verse | Additional notes
Abraham | who | Gen 24:1 | first man to be called a Hebrew, Father of Isaac, Husband/Brother of Sarah, Patriarch of the Hebrew nation
was very old | when | Gen 24:1 | almost as a "last act" in this life, Abraham wants to ensure Isaac has a wife of his own people
The Lord | who | Gen 24:1 | lit. "Jehovah", the Creator of the World, the Judge of Humanity, the Eternal Father, the Triune God of the Bible
blessed him | what | Gen 24:1 | the Abrahamic Covanent included blessings of God on Abraham's life, God fulfilled his immediate Word
senior servant | who | Gen 24:2 | not mentioned by name here, but most likely Eliezar of Damascus, mentioned back in Gen 15:2
hand under my thigh | what | Gen 24:2 | a sign of commitment or oath between the servant and the master 
NOT… wife from Caananites | what | Gen 24:3 | Abraham knows the one true God and wants to ensure that his son's bride doesn't worship the pagan Gods of Caanan
my country | where | Gen 24:4 | Abraham moved from the land of Ur (Gen 11:31) 
my own relatives | what | Gen 24:4 | Abraham wants to ensure not only Isaac's spiritual future, but the family's future as the future of their tribe
unwilling to come back | what | Gen 24:5 | a practical question, does she not get a say in the matter? 
take your son back  | what | Gen 24:5 | Eliezer trying to make sure he can fulfill the wishes of his master asks if relocation is acceptable to accomplish the mission
do not take my son back | what | Gen 24:6 | Abraham is clear, Caanan is their new home, there is no going back, the Lord has promised and that settles it
God promised me | what | Gen 24:7 | Abraham's faith is again seen in him repeating the promises of the Lord and instructing Eliezer to believe them
send his angel | what | Gen 24:7 | Abraham sees the selection of Isaac's wife as a Godly ordained choice, not one of mere change or luck 
only do not… son back | what | Gen 24:8 | Abraham mention's again "not going back" in contrast to his character in feeling the famine (Gen 12:10)
town of Nahor | where | Gen 24:10 | this must be the town where Abraham's brother Nahor lives (Gen 22:20) 
evening… time to draw water | when | Gen 24:11 | God in his providence has Eliezar arriving at just the right time to meet Rebekah, God's timing is always best 
then he prayed | what | Gen 24:12 | Eliezer now seeks the Lord direction and guidance, there is no doubt, they saw this as a divine decision, not a human one
may it be that when | what | Gen 24:14 | Eliezer asks a specific prayer in order to "confirm" the will of God, confirmation is something we all need more of 
water the camels too | what | Gen 24:14 | the typical one-humped camel can drink 25 to 40 gallons in one drink… this was a major act of servanthood
before he had finished praying | when | Gen 24:15 | in the midst of Eliezer praying, the Lord was already answering! How often we miss out because of lack of prayer
the woman | who | Gen 24:16 | the word here is "na'arah" which refers to  damsel, maiden, maid… ie a young woman 
virgin, no man slept with her | what | Gen 24:16 | this illustrates her virtue as well as her candidacy as a bridal prospect 
please give me a little drink  | what | Gen 24:17 | a simple request, but one what is asked with a lot of faith and prayer behind it… what a difference faith makes in perspective
until they had enough  | what | Gen 24: 19 | the provision of water wasn't merely enough to "get by" but as in the provision of the girl, all that one could ask 
quickly… ran back  | what | Gen 24:20 | the nature by which Rebekah serves Eliezer shows a motivation to be either hospitible or a servant 
without saying a word | what | Gen 24:21 | Eliezer says nothing to "taint" the results of his prayerful confirmation. Silent waiting is often a great indicator of God's will
Lord… His journey sucessful | what | Gen 24:21 | following the faith of his master Abraham, Eliezer knows in his heart that it is the Lord who will determine success
when the camels finished | when | Gen 24:22 | depending on how much water was drawn up each time, this could have taken a while, Eliezer is silent this whole time
Whose daugther are you? | what | Ge 24:23 | Eliezer is still focused on the purpose of his mission, asks her what family she comes from 
is there room for me? | what | Gen 24:23  | Elizier, now having his prupose revealed, turns his focus to spending the night and meeting the family of this girl
daughter of Betheul… Nahor | who | Gen 24:24 | This established that Rebekah is from the right tribe, which is one of Abraham's desires for his son. 
Lord has led me on my journey | what | Gen 24:27 | Eliezer again glorifies the one true God for guiding him to the right place (at the right time) 
I will have nothing to eat | what | Gen 24:33 | here we see that Eliezer's devotion to his mission and master is greater even that his desire to eat food
the "back story"  | what | Gen 24:34-41 | Eliezer describes the backstory of what has brought him to their doorstep. A journey of faith for the future of his familiy 
the "current" story | what  | Gen 24:42-49 | Eliezer describes the current events that have futher illustrated God's power at work in their union 
nothing one way or the other | what | Gen 24:50 | this is best understood as a non-commital answer, it's not a "yes" or a "no" … it's not an answer of faith, but of uncertainty
Here is Rebekah | what | Gen 24:51 | much like our modern wedding ceremony, those legally responsible for the bride must bring her to the prospective groom
gave costly gifts | what | Gen 24:53 | this was a traditional practice at the time, to offer a doughry or bride price for releaving a young woman from her family 
let her remain with us | what | Gen 24:55 | they may have develped second thoughts about marrying off their sister/daughter, so they try an alternate method 
do not detain me | what | Gen 24:56 | Eliezer has what he has sought "in faith" there is no reason in his mind to delay another minute 
let's call the young woman | what | Gen 24:57 | hoping that her "vote" will sway Eliezer's decision, father/brother try to keep her home for longer 
I will go | what | Gen 24:58 | what an amazing statement of faith. This is the attitude we need to all have when faced with the faith choice

## Sheet: Sheet2

## Sheet: Sheet3
