## Sheet: Sheet1
Observation | W | verse | Additional notes
Jacob hurried | what | Gen 29:1 | the linking verse from last chapter to this, Jacob hurried because of his excitement after speaking with God
a well in the distance | what | Gen 29:2 | a well in this area was literall a source and symbol of life, Rebekah met Abraham's servant at a well (Gen 24:14)
heavy stone covered the well | what | Gen 29:2 | this is a literal stone covering a literal well, possibly to keep it from evaporating or getting filled with dust/dirt
wait for all the flocks | what | Gen 29:3 | why they waited is not stated, possibly a water saving measure, or perhaps a local ordinance 
Laban, son of Nahor | who | Gen 29:5 | the term "son" in this culture is not only direct progeny, but any male in the line of an ancenstor, Laban is Nahor's grandson
here comes his daughter | what | Gen 29:6 | in God's providence he leads Jacob to the very spot where his family would approach him 
 |  |  | side note: often times we think of God leading us to a destination, when in fact he can lead the destination to us
back out to pasture | what | Gen 29:7 | it appears as though Jacob is trying to get the local shepherds to leave the well, possibly so his meeting Rachel is alone
we can't water until… | what | Gen 29:8 | see note for v3
she was a shepherd | what | Gen 29:9 | a very common job for pastural people living in the area, David, the youngest, watched his father's flocks (1 Sam 16:11)
because… and because | what | Gen 29:10 | Jacob moved the stone over the well because a: Rachel was his cousin & b: the sheep were his uncles, both familial
Jacob kissed Rachel | what | Gen 29:11 | this is not a "kiss" of love but one of greeting, just as in the first meeting with his uncle in v. 13
Rachel ran and told Laban | what | Gen 29:12 | presumably out of excitement, Rachel left all the sheep with Jacob and ran home
after Jacob stayed a month | what | Gen 29:14 | Jacob stayed with and worked for Laban for free for a month, this is consistent with Laban's character 
tell me what your wages… | what | Gen 29:15 | in the month that Laban observed Jacob, he most likely saw Jacob's desire for Rachel, thus letting him earn a dowry
Leah | what | Gen 29:16 | the older daughter of Laban, she had "dim" eyes, this was seen as a sign of lesser beauty 
Rachel | who | Gen 29:16 | the younger daugher of Laban, she is described as the beautiful sister, Jacob worked for 14 years for her
seven years | what | Gen 29:18 | Jacob offers to work for seven years for Laban in order to pay a dowry for Rachel's hand in marriage
rather give her to you | what | Gen 29:19 | Laban either truly does want to give her to Jacob, or he realizes that Rachel will motivate Jacob to work hard 
so I can… | what | Gen 29:21 | this should not be understood as only the carnal desire to have sex, but to have a wife, Jacob loved Rachel, no just lust
prepared a wedding feast | what | Gen 29:22 | weddings have always been a cause for celebration, whole families, clans, and towns would celebrate the new family
that night, when it was dark | when | Gen 29:23 | while this deception seems impossible, the bride wore a veil and at night would have been difficult to identify
 |  |  | ironically, the one who deceived his nearly blind father is decieved in at a time when his own sight was hindered
Zilpah | who | Gen 29:24 | the servant is mentioned here because of the part she will play in the next chapter bearij
why have you tricked me? | what | Gen 29:25 | clearly, Jacob was under the impression that he would be marrying his love, not his sister
it's not our custom | what | Gen 29:26 | Laban uses the claim of cultural acceptance to justify blatant deception, Jacob's dowry was for Rachel (v 18)
the bridal week | what | Gen 29:27 | an ancient custom that may only be slightly related to the honeymoon, weddings were celebrated for a full week
work another 7 years | what | Gen 29:27 | Laban's deception gains him another seven years of free work from Jacob in turn for that which he already owed him 
Bilhah | who | Gen 29:29 | like Zilpah, the servant mentioned here will become one of the mothers of the 12 tribes of Israel
loved her more  | what | Gen 29:30 | Jacob clearly had a "favorite" wife which will be a catalyst for more family conflict in the coming chapter
Leah was unloved | what | Gen 29:31 | in English this is misleading, Lead was "unpreferred" or loved less than Rachel not unloved or hated in our modern sense
enabled her to have…. | what | Gen 29:31 | clearly, the writer sees the Lord as the source of the blessing of pregnancy, or lack there of 
Reuben | who | Gen 29:32 | much of the wordplay in the names is lost in English. Reuben means "see, a son"  it also sounds like "he has seen my misery" 
now my husband will love me | what | Gen 29:32 | multiple wives was never part of God's plan he allowed it, we can clearly see how problems arrise from this choice
Simeon | who | Gen 29:33 | his name means "hearing" 
the Lord heard | who | Gen 29:33 | reflected in her name is the prayer that Leah gives, namely that the Lord has heard her prayers
Levi | who | Gen 29:34 | his name means "joined"  the levites would become the priesthood of Israel
Judah | who | Gen 29:35 | his name means "praise"  the tribe of Judah would lead us to the Messiah, who we all praise as the Savior
stopped having children | what | Gen 29:35 | either she became less fertile, or Jacob stopped sleeping with her 

## Sheet: Sheet2

## Sheet: Sheet3
