## Sheet: Sheet1
Observation | W | verse | Additional notes | 
Jacob | who | Gen 49:1 | the third patriarch and father of the 12 tribes of Israel | 
called for his sons | who | Gen 49:1 | Jacob will now address all of his sons, having already blessed Joseph's "elevated" sons in the previous chapter  | 
in the days to come | when | Gen 49:1 | this phrase is better translated, "in the last days". This phrase appears three other times in the Pentateuch: Numbers 24:14, | 
 |  |  | Deutereonomy 4:30 & 31:29. In all of these instances it refers to the end of days or the end of redemption history.  | 
 |  |  | this places this chapters focus in light of the fullfilment of God's plan in Revelation and the fulfillment of OT prophecy  | 
Jacob / Israel | who | Gen 49:2 | interestingly, the text records the "sons of Jacob" but the future of Israel. Jacob is speaking to each son directly, but it  | 
 |  |  | prophesying about the future their descendants will have in the antipated Messianic Age. Remember, the promise of a  |  
 |  |  | Messiah is from the "seed" of Eve, which we now also know will be from the line of Abraham, and then will further be  | 
 |  |  | narrowed to the line of Judah in this chapter  | 
Reuben | who | Gen 49:3-4 | Reuben was the first born of Jacob, from Leah, but will not be blessed to carry the fulfillment of messianic prophecy  | 
 |  |  | because of his physical indescretion with his father's wife, see Gen 35:22 | 
Simeon & Levi  | who | Gen 49:5-7 | These two brothers are listed together because of their earlier transgression committed together. In Gen 34 the brothers  | 
 |  |  | went back on their agreement with the Shechemites and then killed them in revenge for their sister. The reference to  | 
 |  |  | "hamstrung oxen as they pleased" illustrates a heart that harms and kills needlessly, evidence of their cruelty | 
Judah | who | Gen 49:8-12 | the primary brother and focus of this chapther, Judah's brothers "will praise you"  and "will bow down to you" is a reference  | 
 |  |  | to the descendants of  the other brothers praising the One descendant of Judah, the Messiah.  | 
 |  |  | The symbol of the lion portrays the power and supremecy. The lion was (and still is) the apex predator of the region  | 
 |  |  | the "scepter" and "ruler's staff" are symbols of the coming Messiah's ruling authority, He will be the ruler of all people  | 
 |  |  | as seen by the "obedience of the nations" being His. The reference to washing garments in wine is not a reference to the  | 
 |  |  | over consumption of alcohol, but rather the Messiah's kingdom will be so abundatly blessed that He will be able to clean  | 
 |  |  | His clothes in wine and not be moved by the cost. The eyes "darker than wine" and the teeth "whiter than milk" are also both | 
 |  |  | references to the level of abundance and blessing that will be present in the coming Kingdom. Poor nutritition and lack of  | 
 |  |  | nutrients would cause juandice in the eyes, thus "dimming" the contrast between the whites and color in the eyes. The teeth | 
 |  |  | being white is also in the same vein, because of the abdundance of the Lord everyone will be well fed and healthy.  | 
Zebulun  | who | Gen 49:13 | this little reference illustrates the maritime nature of Zebulun's descendants in the coming Kingdom  | 
Issachar | who | Gen 49:14-15 | a slightly cryptic reference, this foretells of a time when the descendants of Issachar will be laboring in the coming Kingdom | 
Dan | who | Gen 49:17 | Dan would become a tribe through whom justice of a sort would come, as the Judge Sampson would come from this line | 
 |  |  | (Judges 13-16). The reference to the serpant biting the heel of the passerby is cryptic and unclear. The reference to deliverance  | 
 |  |  | directly following could look forward to a Messianic deliverence for the descendants of Dan from this.  | 
Gad | who | Gen 49:19 | the attack by raiders is ambigious enough to be unclearly associated with any specific historical event thus far. Regardless | 
 |  |  | the promise for Dan's descendants is that in the Messianic Kingdom, this attack will be reversed  | 
Asher | who | Gen 49:20 | Asher's descendants will living in blessing and be able to provide blessing in the coming Messianic Kingdom  | 
Naphtali  | who | Gen 49:21 | the imagery of a "beautiful doe" bearing "beautiful fawns" presents a setting of peace and blessing in the Messianic Kingdom | 
Joseph | who | Gen 49:22-26 | Joseph here recieves the second largest treatment in the chapter. Unlike Judah's entirely future focused context, the imagery | 
 |  |  | used here seems to recount the epic story of Joseph that has lead the children of Israel to this point. Of note is the credit  | 
 |  |  | Jacob gives to "The Mighty One, The Shepherd, The Rock of Israel, the father's God, The Almighty" clearly, Jacob now  | 
 |  |  | understands all that has transpired in Joseph's life has been by the hand of God. This offers nice symmetry with the future  | 
 |  |  | plans of God that will work out through the line of Judah. While Josesph is the "prince" among his brothers, the future  | 
 |  |  | "King" of Israel will come through his brother.  | 
Benjamin | who | Gen 49:27 | the imagery of the wolf is that of another apex predator. This suggests Benjamin's descendants will be powerful and perhaps | 
 |  |  | influencial in the plan of God for His chosen people. Both Sauls (the King, and the Apostle Paul) are from this line.  | 
Jacob's death | what | Gen 49:29-33 | The chapter closes with Jacob giving instructions as to where he desires to be buried, with His fahter, grandfather, and wife.  | 
 |  |  | Remember, until the time of Joshua when the conquest of Canaan takes place, this land is the only parcel of land that is  | 
 |  |  | actually owned by the covenant family. Jacob wishes to be buried as a partriach in the land promised to His people.  | 

## Sheet: Sheet2

## Sheet: Sheet3
