## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 9:1 | Son of God, Promised Messiah, 2nd member of the Trinity, Savior of the World, all round cool guy
man born blind | who | John 9:1 | the recipient of Christ's miraculous healing, this man goes un-named, but was born blind
Rabbi | who | John 9:2 | a Jewish term for one's religious teacher, literally means, "my great one" a way of showing honor & submission
his disciples | who | John 9:2 | the disciples of Jesus Christ, those who followed him and submitted to His teaching
why was this man…? | what | John 9:2 | the disciples clearly saw the man's being born blind as a choice, thus the question why? 
was it because of… sin | what | John 9:2 | the disciples also clearly saw the fact of this man's blindness as a judgement against sin
so the power of God could be seen | what | John 9:3 | the power of God is often most sought after and most visible in the midist of calamity and/or difficuty
winter  | when | John 10:22 | the latter season of the year, characterized by lack of life and harsh cold weater
Hanukkah, Festival of Dedication | when | John 10:22 | 8-day festival celebrating the restoration of the temple (165 AD) after it's desecration by the Assyrians
Jerusalem | where | John 10:22 | the City of David, home to the Temple, Capital city of the Jews in Judea
The Temple | where | John 10:23 | the temple of God, the main place of worship, sacrifice, and forgiveness for the Jewish people
Solomon's Colonnade | where | John 10:23 |  a porch with many pillars that ran along the eastern boundary of the court of the gentiles
the people | who | John 10:24 | the third party character of people who have been watching, listening, believing, and challenging Christ
surrounded Him | what | John 10:24 | the people now take a forefront roll in the story by surrounding Jesus to ask their question
If you are the messiah… | what | John 10:24 | this question could sound genuine, but in light of Jesus response in the next verse, probably another trap
already told you… don't believe | what | John 10:25 | it's not because of lack of hearing His message, but because of lack of believing Him that they do not understand
work in do in my Father's name | what | John 10:25 | Jesus did not claim the credit for the work of His minsitry, rather it was because of the Father's divine will
don't believe, not my sheep | what | John 10:26 | a direct corelation is made between believing the words of Jesus and the relationship with the Savior
my sheep listen to my voice | what | John 10:27 | one of the keys to recognizing His sheep is the familiarity with the voice of God
give them eternal life | what | John 10:28 | one of the gifts of God is salvation in Jesus, which is offered to all of his sheep 
no one can snatch them away | what | John 10:28 | assurance from the Savior that no sheep can be snatched way from the grasp of His salvation
my Father has given them to me | what | John 10:29 | The father has "given" those sheep to Jesus
The father and I are one!  | what | John 10:30 | The claim that Jesus and the Heavenly Father are one is more than any Jew can take. 
We're stoning you | what | John 10:33 | they tried to stone Him because He claimed to be God, a crime punishable by death
Father set me apart | what | John 10:36 | Jesus spells it out now that His mission was set apart by God the Father and sent into our world. 
Jordan river, where John… | where | John 10:40 | most likely Perea, east of the Jordan river

## Sheet: Sheet2

## Sheet: Sheet3
