## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 9:1 | Son of God, Promised Messiah, 2nd member of the Trinity, Savior of the World, all round cool guy
man born blind | who | John 9:1 | the recipient of Christ's miraculous healing, this man goes un-named, but was born blind
Rabbi | who | John 9:2 | a Jewish term for one's religious teacher, literally means, "my great one" a way of showing honor & submission
his disciples | who | John 9:2 | the disciples of Jesus Christ, those who followed him and submitted to His teaching
why was this man…? | what | John 9:2 | the disciples clearly saw the man's being born blind as a choice, thus the question why? 
was it because of… sin | what | John 9:2 | the disciples also clearly saw the fact of this man's blindness as a judgement against sin
so the power of God could be seen | what | John 9:3 | the power of God is often most sought after and most visible in the midist of calamity and/or difficuty
tasks assigned to us | what | John 9:4 | Jesus has already established that His actions were led by a divine timeline, now illustrating that for us as well
night is coming | when | John 9:4 | again light and dark are large themes in this book, "no one can work at night" is both literal and illustrative
I am the light of the world | what | John 9:5 | Jesus is the light of life, of salvation, and of the knowledge of God
Jesus spat and made mud | what | John 9:6 | Jesus is symbolliclally identify's with the Divine Potter who has the power over his creation
go and wash yourself | what | John 9:7 | Jesus had the power to heal him immediately, but chose to have his healing evidenced at the pool of Siloam (sent)
neighbors and others who knew | who | John 9:8 | It is often those who know us who are the first to notice a change in us
others said, "no… looks like him" | who | John 9:9 | there will always be those who have an anti-supernaturalist attitude, they doubt first and believe second
Who healed you? What happened? | who | John 9:10 | those who witnessed the healing of this man immediately associate it with the ministry of a person, hence "who"
the man named Jesus | who | John 9:11 | even though Jesus sent him to Siloam, this man considered Jesus the real reason for his healing
where is He now?  | where | John 9:12 | after hearing the testimony of the healed man, the crowd's next desire was to seek out this Jesus
Pharisees | who | John 9:13 | one group of the reigning Jewish leaders, known for their piety, zealous nature, and legalism
Sabbath | when | John 9:13 | ther final day of the week in the Jewish calendar, the day of rest, the 7th day in which God rested after creation
not from God, working on Sabbath | what | John 9:16 | the pharisees quickly dismissed Jesus because He didn't hit into their understanding/expectation of God's plan
ordinary sinner… miraculous signs | what | John 9:16 | Jesus' miraculous signs were and still are a sign to us of His divine authority and mission
refused to believe… | what | John 9:18 | in order to "debunk" the fact of the healing, the question the validity of his being born blind
he is old enough | what | John 9:23 | The pharisees made their choice about Jesus and were using pressure tactics to keep their way over the people
Jesus is a sinner | what | John 9:24 | Their "darkened" minds clearly did not know who Jesus was
I was blind… I can see | what | John 9:25 | the man who had been healed didn't need "verification"  of who Jesus was, his personal encounter was enough
don't know where he comes from | where | John 9:29 | the true Messiah was expected to be from bethlehem, since they couldn't verify it, then Jesus couldn't be the Messiah
threw him out of the synagogue | where | John 9:34 | since they couldn't silence the man, they dismissed him as to not allow his "heracy" in their midst
Son of Man | who | John 9:35 | an Old Testament term for the Messiah that was to come
sight to the blind | what | John 9:39 | one of the ministries of the expected Messiah was that of healing
think they see are blind | what | John 9:39 | Jesus now speaking of the Pharisees who were spiritually blind to His presence and the truth of His Messiah-ship
guilty because you claim to see | what | John 9:41 | those who think they are right in God's eyes are always the first to fall prey to sins of the heart, pride, lust, etc. 

## Sheet: Sheet2

## Sheet: Sheet3
