## Sheet: Sheet1
Observation | W | verse | Additional notes
When it was time | when | Luke 1:57 | the end of Elizabeth's pregnancy, time for her to have her baby 
gave brith to a son | what | Luke 1:57 | this is a direct fulfillment of Gabriel's prophecy to Zechariah in Luke 1:13
neighbors and relatives | who | Luke 1:58 | having a baby was a shared experience with a community, not just a single family, like baby showers today 
shown her great mercy | what | Luke 1:58 | Elizabeth was well along in age (1:36) and in "disgrace" (1:25) because she hadn't had a child yet
on the eighth day | when | Luke 1:59 | on the eighth day after John's birth, this was in line with the commandment given to Abraham in Gen. 17:12
after his father | what | Luke 1:59 | a cultural tradition that still exists today, with senior/junior members with the same name
He is to be called John | what | Luke 1:60 | this is in response to the Angel Gabriel's instructions in 1:13
no one among your relatives | what | Luke 1:61 | further evidence of the tradition to name a child after other family members
made signs to his father | what | Luke 1:62 | in 1:20 we see that Zechariah was unable to speak, "make signs" give the idea that he also couldn't hear, possibly deaf
his name is John | what | Luke 1:63 | what Zechariah first doubted (1:20) he now openly confesses
immediately | when | Luke 1:64 | a reference to time, this is a very big term to look for because it correlates two specific events together 
mouth opened… began to speak | what | Luke 1:64 | the reversal of the "mute-ness" given to Zechariah in 1:20
neighbors filled with awe | what | Luke 1:65 | first joy (1:58) and now awe (1:65) the neighbors and surrounding community are touched by God's new moving
everyone who heard this | what | Luke 1:66 | people are naturally (and supernaturally) drawn to talk about a genuine move of God, the community responded 
His father Zechariah | who | Luke 1:67 | Zechariah, the husband of Elizabeth and father of John the Baptist, a priest, mentioned now as the father of John 
filled with the Spirit | what | Luke 1:67 | this is still "old covanent" and "old testament" as far as the ministry of the Spirit is concerned. 
Holy Spirit | who | Luke 1:67 | the third member of the Trinity, Comforter, Guide, our personal guarantee and promise of things to come 
prophesied | what | Luke 1:67 | a very notable gift and move of the Holy Spirit in the Old Testament 
Praise be to the Lord | what | Luke 1:68 | the one focus of all the Holy Spirit's gifts and ministry is the glory of God, it is never to bring ourseles honor or prestige 
come to his people | what | Luke 1:68 | clearly there is an expectation that this child is God Himself come to flesh, or put another way, the incarnation 
redeem them | what | Luke 1:68 | the fact that this child will help redeem the people suggests they understood they needed redemption
salvation… house of David | what | Luke 1:69 | clearly this is a Messianic reference, being from the Spirit, it can't be wrong, he is speak of Jesus, not John 
salvation from our enemies | what | Luke 1:71 | the primary expectation of a Jewish Messiah was going to be a physical redemption from the Roman oppressors 
his holy covanent | what | Luke 1:72 | the Abrahamic covanent promises a direct relationship between God the Father and the Hebrew people 
hand of our enemies | what | Luke 1:74 | "hand" is an anthropomorphism for the strong subjugation to the existing Roman occupiers
serve Him without fear | what | Luke 1:74 | the same plee is made to Pharoah: Let my people go so they may WORSHIP me (Exodus 1:8)
and you, my child | who | Luke 1:76 | Zechariah now turns his focus his own son, John the Baptist
prepare the way for Him | what | Luke 1:76 | Zecharaih is echoing the words of the prophet Malachi who prophesied about the forerunner (Mal 3:1) 
 |  |  | John Himself knew his mission was never to be the Messiah, but his forerunner (John 3:30) 
salvation… forgiveness of sin | what | Luke 1:77 | here we have the full view of the Messiah's mission, to save from sin, not necessarily oppression 
 |  |  | Zechariah's song is full of references from the Old Testament:
 |  |  | Praise be to the Lord, the God is Israel… 1King 1:48, 1 Chron. 16:36, Ps. 41:13, 72:18, 106:48
 |  |  | has as redeemed his people… Ps 111:9
 |  |  | raised up a horn of salvation… 2 Sam 22:3, Ps 18:2, 89:24, Ezek 29:21
 |  |  | house of his servant David… 2 Sam 7:11-13
 |  |  | salvation from enemies… 2 Sam 22:18, Ps 18:17
 |  |  | oath he swore to Abraham… Gen 26:3, Jer 11:5, Mic 7:20
 |  |  | holiness and righteousness before him all our days… Is 38:20
 |  |  | prepare a way for him… Mal 3:1, Is 40:3

## Sheet: Sheet2

## Sheet: Sheet3
