## Sheet: Sheet1
Observation | W | verse | , 
while Jesus was in | when | Luke 5:12 | notice how Luke links the events geographically, but not necessarily chronolocially 
a man | who | Luke 5:12 | the name or history fo the man is not given, only his current state 
covered with leprosy | what | Luke 5:12 | there were many types of skin conditions that were mistaken for leprosy in Jesus day
when he saw Jesus | when | Luke 5:12 | the moment when his eyes saw the object of his healing / salvation 
fell on his face | what | Luke 5:12 | falling forward and bowing down in a sign of humility, subjugation, and supplication 
Lord | who | Luke 5:12 | this word implies "one who has authority over another" the leprious man is recognizing Jesus authority over him 
if you are willing | what | Luke 5:12 | all that is done is done at the will of God, the man is asking if his healing would be in God's will 
make me clean | what | Luke 5:12 | literally means to cleanse, from stains or dirt physically, or from sin and defilement morally 
Jesus reached out His hand | what | Luke 5:13 | Jesus did what no one else would have, reached out to physically touch a man with leprosy 
I am willing | what | Luke 5:13 | in other words, "Yes, my son, your healing is in my will"
Be clean | what | Luke 5:13 | It's is not the touch of Jesus, but His words that healed the man, just as God spoke creation into existence 
immedately  | when | Luke 5:13 | the healing was not gradual or slow, it was miraculous and fast! 
don't tell anyone | what | Luke 5:14 | Jesus wasn't healing and teaching to make His own name famous, but to do the will of the Father 
offer the sacrifices  | what | Luke 5:14 | Jesus also wanted the testimony to be given to the priests, so He sent this man to them to glorify God by his offering (Lev 14:4)
news about Him spread | what | Luke 5:15 | the Gospel or "Good News" about Jesus is uncontainable, it is the news that changes lives and heals souls 
hear him… be healed  | what | Luke 5:15 | Luke is beginning to pain the picture of the ministry of Jesus as one that is powerful both in teaching and in healing 
Jesus often withdrew | what | Luke 5:16 | even the Savior, while on earth in human form, took time away from his activities to spend alone with His Father 
one day | when | Luke 5:17 | again, see how Luke organizes these two narratives not by time, but by where they took place 
Pharisees & teachers of the law | who | Luke 5:17 | the Pharisees were a legalistic group of religious teachers, the other teachers could be Saduccees or just teachers 
Galilee | where | Luke 5:17 | the area north of Samaria to the west of the Jordon river (top of the snowman) 
Judea | where | Luke 5:17 | the area south of Samaria to the west of the Jordon river (bottom of the snowman) 
Jerusalem  | where | Luke 5:17 | the capital city of Judea, home of the Temple, center of the Jewish faith & practice, place where Jesus will rule from  
power of the Lord | what | Luke 5:17 | Jesus, while fully God, also clearl operated in the power of the Lord, ie the Spirit given by the Father at His baptism (3:22)
some men | what | Luke 5:18 | the number of men carrying is not mentioned, because while their actions led to the healing, they are not the focus 
paralyzed man  | what | Luke 5:18 | again, we see Luke giving us an example of Jesus' healing power over something that that medicine couldn't cure 
could not find a way | what | Luke 5:19 | this gives us a glimpse at the popularity of Jesus in His teaching ministry it was standing room only with VIP Pharisees 
lowered him on his mat | what | Luke 5:19 | how amazing the faith and commitment of the friends carrying the man! They carried him to the roof to let him down
middle of the crowd | what | Luke 5:19 | the paralyzed man is now the center of attention, I just wonder what it was like when they first started removing tiles 
in front of Jesus | where | Luke 5:19 | the friends faith pays off when they lower their friend in need right in front of the Healer Himself 
Jesus saw their faith | what | Luke 5:20 | Jesus responds to the faith of the friends carrying the man, but likely the man himself 
who can forgive sins | what | Luke 5:21 | they are right, that only God can forgive sins, but lack the spiritual sight to see it was God incarnate standing before them 
Jesus knew… their thinking | what | Luke 5:22 | Jesus while in humna form still operated miraculously, knowing their thoughts He chooses this time to teach a lesson 
which is easier |  what | Luke 5:23 | the comparision is obvious, there is no visible "proof" of sins forgiven, but walking is visually evident 
Son of Man | who | Luke 5:24 | an Old Testament term for the Messiah, from the book of Daniel, Jesus is referring to Himself in Messianic terms 
has authority  | what | Luke 5:24 | this is the real issue when it comes to the forgiveness of sins, the authority of God to grant grace and forgiveness 
take your mat… go home | what | Luke 5:24 | Jesus again heals immediately and fully, the man is able to carry the mat that first carried him! 
immedately  | when | Luke 5:25 | as in the previous narrative, Jesus authority to heal is immedate and complete, there is no waiting period with Jesus 
Everyone | who | Luke 5:26 | this is three different groups: the standing room only crowd, the Pharisees & teachers, and the friends who lowered him down 
gave praise to God | what | Luke 5:26 | this is the true focus of the Messiah's minsitry, not just to teach, heal, and save, but bring glory to the father 

## Sheet: Sheet2

## Sheet: Sheet3
