## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
the crowds increased | who | Luke 11:29 | this is likely the same crowd Luke introduced in verse 14, showing the more were coming to hear Jesus
Jesus | who  | Luke 11:29 | the Son of God, Son of Man, 2nd member of the Trinity, Promised Messiah, Savior of the World
a wicked generation | who | Luke 11:29 | Jesus is speaking of the generation at that time, but is also echoing the wickedness seen in Deut 2:15 that God judged 
asks for a sign | what | Luke 11:29 | Luke now records Jesus response to the request for a "heavenly" sign in verse 16 
none will be given it | what | Luke 11:29 | Jesus never gave miraculous signs to those who did not believe to "convice" them. This would be seeing not believing. 
 |  |  | Unbelief says, "Let me see and then I will believe." God says, "Believe and then you will see." 
the sign of Jonah | what | Luke 11:29 | Jonah was sent as a prophet of God to preach a message of repentence to the capital of the gentile nation of Assyria in 
 |  |  | Jonah 1:1-2, after a detour, he is "resurrected" from death three days later on the shores of the city. Jesus is likely 
 |  |  | foreshadowing His own three days in the tomb and then would be bodily resurrected and continue to teach (Acts 1:3)
Jonah to the Ninevites | what | Luke 11:30 | Jonah, after his "resurrection" preached a message of repentence that "saved" the city from God's judgment (Jonah 4:2)
Son of Man | who | Luke 11:30 | an Old Testament prophetic term for the Messiah from Daniel 7:13
Queen of the south | who | Luke 11:31 | this is a reference to the Queen of Sheba who came to visit Solomon in 1 Kings 10, she came to seek Solomon's wisdom 
men of Ninevah | who | Luke 11:32 | the gentile Assyrians who were not God's chosen people, yet the experienced God's grace through Jonah's preaching
stand at the judgement | what | Luke 11:31-32 | The Queen of Sheba and the men of Ninevah both responded in faith WITHOUT asking to see a sign, this is why they will
 |  |  | stand in judgment, the wicked generation Jesus is speaking to are unwilling to believe without seeing a sign (v16)
someone greater | who | Luke 11:32 | Jesus is more wise than Solomon and more powerful in His preaching ministry than Jonah
no one lights a lamp | what | Luke 11:33 | this light is the Gospel, the ministry of Jesus, in the gospel of John, Jesus is the Light of the World (John 1:4) 
put it on a stand | what | Luke 11:33 | the Gospel is not meant to be hidden or held back, there is no such thing as darkness that can snuff out light
your eye is the lamp | what | Luke 11:34 | this "light" is different from the previous verse, the eye is where the light comes in to the body, without the gateway of the
 |  |  | eye, the body can not take it in or receive the benefit of the light, the eye is gateway, but the body is the recipient 
full of light | what | Luke 11:36 | the "light' of the gospel comes in from our eyes, but takes root in our hearts. If we are filled with His light, we will also be
 |  |  | filled with faith in Him 
[strong rebuke] |  |  | while these two sections seem to be unrelated, they are infact both strong rebukes for the "wicked" generation that won't
 |  |  | believe without first being given a sign (v16). Jesus uses the Old Testament characters of the Queen of Sheba and Jonah
 |  |  | to illustrate that needing to "see a sign" first is no faith at all. The Savior then turns to the physical relationship between 
 |  |  | light and dark (common imagery of the day for good and evil) to illustrate the same thing. The "wicked" generation Jesus
 |  |  | was preaching to would only accept His teaching on their own terms. Those who came to true fatih don't do this. 

## Sheet: Sheet2

## Sheet: Sheet3
