## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
man named Joseph | who | Luke 23:50 | Joseph was as common a name then as it is today, this is Joseph of Arimathea. Luke gives several details about him: 
 |  |  | he is a member of the Sanhedron, the Jewish ruling council, v50b
 |  |  | he was a "good and upright" man, meaning a righteous man, 50c
 |  |  | he had not consented to the trial, decision, and execution of Jesus, 51a
 |  |  | he was from the town of Arimathea in Judea, 51b
 |  |  | he was waiting for the Kingdom of God, or was waiting for the Messiah, 51c
 |  |  | In John's gospel we are told that Joseph is a secret disciple of Jesus, John 19:38
going to Pilate | who | Luke 23:52 | Pontius Pilate is the Roman prefect or governer placed in charge of Judea by caesar, he tried to free Jesus but eventually 
 |  |  | caved to the pressure of the crowd and washed his hands of Jesus 
asked for Jesus' body | what | Luke 23:52 | standard roman practice was to keep the crucified bodies on display as a means of fear and control, Jews however 
 |  |  | have strict instructions in Deuteronomy 21:22-23 not to allow anyone who dies "on a poll" to be left there overnight. 
 |  |  | This again put Pilate at odds with Jewish law. Joseph asks Pilate for the body in order to obey the Law. Pilate, possibly 
 |  |  | because of Joseph's status as a council member agrees. 
took it down | what | Luke 23:53 | meaning took the body of Jesus down from the cross itself 
wrapped it in linen | what | Luke 23:53 | this will be the same linen cloth that will illustrate the empty tomb when the resurrection is discovered 
placed it in a tomb | what | Luke 23:53 | first century Jewish burial was done in two stages. (a) the body was placed into a cave cut into a large hill our mountainside
 |  |  | it is here the body would decompose naturally. Once decomp was over, the bones would be collected and stored either in a
 |  |  | a pile with other family bones, or in separate boxes in small holes cut into the walls of a family crypt
in which no one had been laid | what | Luke 23:53 | Joseph was a wealthy man and likely had fashioned this tomb for his family, but Jesus was the first to use it. This fulfills 
 |  |  | the OT prophecy from Isaiah 53:9, that the Messiah would be lain in a "rich man's tomb" 
Preparation Day | when | Luke 23:54 | remember the timeline. Jesus died Friday afternoon, it was dark until 3pm. Likely Joseph had from 3pm to 6pm to get 
 |  |  | Jesus body down, wrapped and in the tomb because the Sabbath began at 6pm that night. We know from John's gospel 
 |  |  | that Joseph was aided in this task by another Pharisee, namely Nicodemus, John 19:39
the women… saw the tomb | who | Luke 23:55 | Luke makes special mention of women here in preparation for the discovery of the Ressurrection. If they woman had 
 |  |  | not followed Joseph here, they would not have known where the tomb was in order to come back after the Sabbath 
they went home… spices | what | Luke 23:56 | the women here are preparing more spices to cover the body of Jesus, this is for the purpose of masking the smell 
 |  |  | of decomposition. Clearly, the woman had not considered how they were going to move the stone, but moved out of love
 |  |  | for Jesus they made their plan anyway 
on the first day of the week | when | Luke 24:1 | in the Jewish week this would be Yom Rishon, we refer to it as Sunday 
very early in the morning | when | Luke 24:1 | the early hour illustrates the women's dedication and love for the Savior, they obediently waited for the Sabbath to be over
 |  |  | but did not wait for Sunrise to leave and travel to the tomb. Exodus 20:10 and Deuteronomy 5:12-15 we see that no work 
