## Sheet: Sheet1
Observation | W | verse | Additional notes
in the beginning | when | Gen 1:1 | the beginning of eternity past, nothing existed except for God Himself 
God | who | Gen 1:1 | God the Father, Creator, and ultimate Judge of all humanity
Selected Text: Matt 9:18-26 |  |  | 
Author: Matthew  |  |  | Matthew (Levi) was a tax collector, a Jew, and one of the original 12 disciples. 
Audience: Jews |  |  | Matthew's main goal was to show that Jesus would fulfill the outstanding promises to the nation of Israel 
Whole story: Ministry of Jesus |  |  | Matthew is the first book of the New Testament, the life and ministry of Jesus is the beginning of the birth of the Church
Before & After this text |  |  | Jesus cross the Sea of Galilee in 8:23, calms a storm, frees a demoniac, then crosses back into Galille landing at Capernaum 
 |  |  | in 9:1, here Jesus heals a paralyzed man, calls Matthew to service, questioned, then appraoched by the synogogue leader 
 |  |  | while on the way to the synogague leader's home, Jesus heals a bleeding woman, then proceeds to his home 
Literary genrea  |  |  | this is a gospel or narrative text 
while he was saying  | when  | Matt 9:18 | this story begins while Jesus is teaching about fasting
a synogague leader | who  | Matt 9:18 | this man's name is Jarius' and his story is also recorded in Mark 5:21 and Luke 8:41, Matthew only mentions his position
knelt before Him | where | Matt 9:18 | this is a sign of submission and also a position to make a request of a higher ranking individual 
daugther has just died  | what | Matt 9:18 | the event that caused Jarius to seek out Jesus was the death of his child. The story begins with the child already dead. 
but… she will live | what | Matt 9:18 | Jarius' faith in Jesus is greater than his loss of his daughter, he believes Jesus can restore her life 
so did His disciples  | who  | Matt 9:19 | this should not be considered to only apply to "The Twelve" as the word here is only disciples and not "twelve" 
Just then  | when  | Matt 9:20 | the healing of the bleeding woman is intentionally inserted into the narrative of Jariu's daugther
a woman  | who  | Matt 9:20  | like Jarius, the woman's name is not given, only her malady. This is the defining characteristic of her for the past 12 years 
bleeding  | what | Matt 9:20  | this should be interpreted as vaginal bleeding. This kept her "unclean" for 12 years (Lev 15:19-25)
for 12 years | when  | Matt 9:20  | interestingly, the length of the woman's bleeding is the same number as the daughter's age: 12 years (Luke 8:42)
came up behind him  | where | Matt 9:20 | unlike Jarius who came to Jesus' face, the woman comes up behind the Savior, perhaps an attempt to hide? 
edge of his cloak | what | Matt 9:20 | the woman touched the edge of Jesus's garments, attempting to not draw attention, Jarius spoke to Jesus direclty 
daughter  | who  | Matt 9:22 | Jesus uses the same word to describe the bleeding woman as Jarius has to describe his own daugther
faith has healed you | what | Matt 9:22 | Jesus doesn't take credit for the healing, but tells the woman her faith is what has healed her 
when Jesus entered | when  | Matt 9:23 | the girl's body was still in her father's home
noisy crowd, playing pipes | what | Matt 9:23 | proffessional mourners were used at the time as part of the funeral and mourning process 
not dead, but asleep | what | Matt 9:24 | Jesus corrects the mourners who had been hired because the girl's death by claiming she was "asleep" 
 |  |  | downplays His own role as everyone else may have believed the girl was just asleep after He raised her from the dead 
they laughed at Him | what | Matt 9:24 | the crowd of mourners and musicians did not believe Jesus nor did they take Him seriously
crowd had been put outside | what | Matt 9:25 | Jesus moves the entire funeral rites outside, this house was not a house of death, but one of life. 
took her by the hand  | what | Matt 9:25 | another sign of Jesus' human compassion. He could have just spoken to her, but chose to take her by the hand 
she got up  | what | Matt 9:25 | this is the moment when the dead girl became living again. She was dead (not alseep) and raised to life by Jesus 
news spread | what | Matt 9:26 | the final outcome of the healing of the daughter was word spread about Jesus to more and more people 
Key theme: healing |  |  | before and after, this section in Matthew illustrates Jesus ability to heal 
key term: sleeping |  |  | Jesus isn't denying the girl is dead, but illustrates that His power is greater than the death he "wakes" her from 
key term: daughter  |  |  | both the girl and the woman were "daughters" of God, loved by Him, and healed by Him 
Life Application |  |  | There is no sin or circumstance so "unclean" or "impossible" that Jesus cannot heal and restore it in His power. 

## Sheet: Sheet2

## Sheet: Sheet3
